source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,Universal Business Language Version 2.4,OASIS Open,https://docs.oasis-open.org/ubl/os-UBL-2.4/UBL-2.4.html,"OASIS Standard, 20 June 2024",true,false,true,unverified,unverified,unverified,
SRC-002,UBL-Order-2.4.xsd (UBL 2.4 Order document schema),OASIS Open,https://docs.oasis-open.org/ubl/os-UBL-2.4/xsd/maindoc/UBL-Order-2.4.xsd,"UBL 2.4 OASIS Standard, 20 June 2024",true,false,true,unverified,unverified,unverified,
SRC-003,UBL-OrderResponse-2.4.xsd (UBL 2.4 Order Response document schema),OASIS Open,https://docs.oasis-open.org/ubl/os-UBL-2.4/xsd/maindoc/UBL-OrderResponse-2.4.xsd,"UBL 2.4 OASIS Standard, 20 June 2024",true,false,true,unverified,unverified,unverified,
SRC-004,Peppol BIS Ordering 3.3,OpenPeppol AISBL,https://docs.peppol.eu/poacc/upgrade-3/profiles/28-ordering/,"Version 3.3, Post-Award Community profile (binds UBL 2.1)",true,false,true,unverified,unverified,unverified,
SRC-005,Peppol BIS Despatch Advice 3.1,OpenPeppol AISBL,https://docs.peppol.eu/poacc/upgrade-3/profiles/30-despatchadvice/,"Version 3.1, Post-Award Community profile",true,false,true,unverified,unverified,unverified,
SRC-006,Order - Schema.org Type,Schema.org Community Group,https://schema.org/Order,"Schema.org v30.0, 2026-03-19",true,false,true,unverified,unverified,unverified,
SRC-007,OrderStatus - Schema.org Type,Schema.org Community Group,https://www.schema.org/OrderStatus,"Schema.org v30.0, 2026-03-19",true,false,true,unverified,unverified,unverified,
SRC-008,RFC 3339: Date and Time on the Internet: Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339,"RFC 3339, July 2002",true,false,true,unverified,unverified,unverified,
SRC-009,United Nations Convention on Contracts for the International Sale of Goods (CISG),United Nations Commission on International Trade Law (UNCITRAL),https://uncitral.un.org/en/texts/salegoods/conventions/sale_of_goods/cisg,"Vienna, 1980; entered into force 1 January 1988",true,false,true,unverified,unverified,unverified,
SRC-010,Incoterms 2020 rules,International Chamber of Commerce,https://iccwbo.org/business-solutions/incoterms-rules/incoterms-2020/,"Incoterms 2020 edition, in force from 1 January 2020",true,false,true,unverified,unverified,unverified,
SRC-011,UN/CEFACT Web Vocabularies (Buy-Ship-Pay),United Nations Economic Commission for Europe (UN/CEFACT),https://vocabulary.uncefact.org/,Buy-Ship-Pay vocabulary D23B; UN/LOCODE v2023-2,true,false,true,unverified,unverified,unverified,
SRC-012,EN 16931 compliance,"European Commission, DIGITAL Building Blocks (eInvoicing)",https://ec.europa.eu/digital-building-blocks/sites/spaces/DIGITAL/pages/467108950/EN+16931+compliance,Last updated 5 March 2026,true,false,true,unverified,unverified,unverified,
