source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,Regulation EU 2024/1689 Artificial Intelligence Act consolidated text,European Union,https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng,Consolidated 27 July 2026,false,false,true,true,verified,verified,verified,European Union legal profile including Article 3 and Article 73.
SRC-002,Draft guidance and reporting template on serious AI incidents,European Commission,https://digital-strategy.ec.europa.eu/en/consultations/ai-act-commission-issues-draft-guidance-and-reporting-template-serious-ai-incidents-and-seeks,Consultation package 26 September 2025,false,false,true,true,verified,draft,verified,Draft only; not treated as binding or final.
SRC-003,Defining AI incidents and related terms,Organisation for Economic Co-operation and Development,https://www.oecd.org/en/publications/defining-ai-incidents-and-related-terms_d1a8d965-en.html,OECD AI Paper 16 6 May 2024,false,false,true,true,verified,verified,verified,
SRC-004,Towards a common reporting framework for AI incidents,Organisation for Economic Co-operation and Development,https://www.oecd.org/en/publications/towards-a-common-reporting-framework-for-ai-incidents_f326d4ac-en.html,OECD AI Paper 34 28 February 2025,false,false,true,true,verified,verified,verified,Framework contains 29 criteria and permits jurisdictional tailoring.
SRC-005,AI Incidents and Hazards Monitor,Organisation for Economic Co-operation and Development,https://oecd.ai/en/incidents/,Beta monitor current at access,false,false,true,true,verified,beta,verified,Monitor entries do not represent official OECD or member-country views.
SRC-006,Artificial Intelligence Risk Management Framework AI RMF 1.0,National Institute of Standards and Technology,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,NIST AI 100-1 26 January 2023,false,false,true,true,verified,verified,verified,Revision in progress at access; inspected 1.0 remains pinned.
SRC-007,Artificial Intelligence Risk Management Framework Generative Artificial Intelligence Profile,National Institute of Standards and Technology,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,NIST AI 600-1 July 2024,false,false,true,true,verified,verified,verified,
SRC-008,Incident Response Recommendations and Considerations for Cybersecurity Risk Management,National Institute of Standards and Technology,https://csrc.nist.gov/pubs/sp/800/61/r3/final,NIST SP 800-61 Revision 3 April 2025,false,false,true,true,verified,verified,verified,Supersedes Revision 2.
SRC-009,Adversarial Machine Learning A Taxonomy and Terminology of Attacks and Mitigations,National Institute of Standards and Technology,https://www.nist.gov/publications/adversarial-machine-learning-taxonomy-and-terminology-attacks-and-mitigations-0,NIST AI 100-2e2025 March 2025,false,false,true,true,verified,verified,verified,
SRC-010,Regulation EU 2016/679 General Data Protection Regulation,European Union,https://eur-lex.europa.eu/eli/reg/2016/679/oj,27 April 2016 applicable from 25 May 2018,false,false,true,true,verified,verified,verified,European Union privacy profile including Articles 33 and 34.
SRC-011,Guidelines 9/2022 on personal data breach notification under GDPR,European Data Protection Board,https://www.edpb.europa.eu/our-work-tools/our-documents/guidelines/guidelines-92022-personal-data-breach-notification-under_en,Final version 2.0 adopted 28 March 2023,false,false,true,true,verified,verified,verified,
SRC-012,CSIRT Services Framework,Forum of Incident Response and Security Teams,https://www.first.org/standards/frameworks/csirts/csirt_services_framework_v2.1,Version 2.1,false,false,true,true,verified,verified,verified,High-level technology-neutral service framework.
SRC-013,ISO IEC 42001 AI management systems,International Organization for Standardization,https://www.iso.org/standard/42001,ISO IEC 42001 2023,false,false,true,true,verified,verified,limited,Only public catalogue metadata used; normative clauses not inspected.
SRC-014,PROV-O The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,W3C Recommendation 30 April 2013,false,false,true,true,verified,verified,verified,
SRC-015,Date and Time on the Internet Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/info/rfc3339/,RFC 3339 July 2002,false,false,true,true,verified,verified,verified,
