source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,Consolidated Resolution on the Construction of Vehicles (R.E.3),United Nations Economic Commission for Europe,https://unece.org/transport/vehicle-regulations/wp29/resolutions,ECE/TRANS/WP.29/78/Rev.7 listed 2026,false,false,true,true,unverified,unverified,unverified,
SRC-002,"ISO 3779:2009 Road vehicles, Vehicle identification number",International Organization for Standardization,https://www.iso.org/standard/52200.html,"Edition 4, confirmed 2024",false,false,true,true,unverified,unverified,unverified,
SRC-003,Vehicle Manufacturers and vPIC,National Highway Traffic Safety Administration,https://www.nhtsa.gov/vehicle-manufacturers,Current service accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-004,Regulation (EU) 2018/858,European Union,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32018R0858,Consolidated legal text accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-005,IMO identification number schemes,International Maritime Organization,https://www.imo.org/en/ourwork/msas/pages/imo-identification-number-scheme.aspx,Current scheme page accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-006,Aircraft Nationality and Registration Marks,International Civil Aviation Organization,https://www.icao.int/nationality-marks,Annex 7 overview accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-007,European Vehicle Register,European Union Agency for Railways,https://www.era.europa.eu/registers/evr_en,Production register guidance accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-008,Semantic Sensor Network Ontology,World Wide Web Consortium and Open Geospatial Consortium,https://www.w3.org/TR/vocab-ssn/,"W3C Recommendation, 19 October 2017",false,false,true,true,unverified,unverified,unverified,
SRC-009,PROV-O: The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,"W3C Recommendation, 30 April 2013",false,false,true,true,unverified,unverified,unverified,
SRC-010,RFC 3339: Date and Time on the Internet: Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339,"RFC 3339, July 2002",false,false,true,true,unverified,unverified,unverified,
