source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,PROV-DM: The PROV Data Model,World Wide Web Consortium (W3C),https://www.w3.org/TR/prov-dm/,"W3C Recommendation, 30 April 2013",true,false,true,unverified,unverified,unverified,
SRC-002,PROV-O: The PROV Ontology,World Wide Web Consortium (W3C),https://www.w3.org/TR/prov-o/,"W3C Recommendation, 30 April 2013",true,false,true,unverified,unverified,unverified,
SRC-003,Constraints of the PROV Data Model,World Wide Web Consortium (W3C),https://www.w3.org/TR/prov-constraints/,"W3C Recommendation, 30 April 2013",true,false,true,unverified,unverified,unverified,
SRC-004,OpenLineage Object Model,OpenLineage project (LF AI & Data Foundation),https://openlineage.io/docs/spec/object-model,"Specification documentation 1.52.0, accessed 29 August 2026",true,false,true,unverified,unverified,unverified,
SRC-005,OpenLineage Naming Conventions,OpenLineage project (LF AI & Data Foundation),https://openlineage.io/docs/spec/naming,"Specification documentation 1.52.0, accessed 29 August 2026",true,false,true,unverified,unverified,unverified,
SRC-006,ColumnLineageDatasetFacet,OpenLineage project (LF AI & Data Foundation),https://openlineage.io/docs/spec/facets/dataset-facets/column_lineage_facet,"Facet schema 1-2-0 (documentation 1.52.0), accessed 29 August 2026",true,false,true,unverified,unverified,unverified,
SRC-007,OpenLineage Run Cycle,OpenLineage project (LF AI & Data Foundation),https://openlineage.io/docs/spec/run-cycle,"Specification documentation 1.52.0, accessed 29 August 2026",true,false,true,unverified,unverified,unverified,
SRC-008,OpenLineage Facets and custom facet rules,OpenLineage project (LF AI & Data Foundation),https://openlineage.io/docs/spec/facets/,"Specification documentation 1.52.0, accessed 29 August 2026",true,false,true,unverified,unverified,unverified,
SRC-009,Data Catalog Vocabulary (DCAT) - Version 3,World Wide Web Consortium (W3C),https://www.w3.org/TR/vocab-dcat-3/,"W3C Recommendation, 22 August 2024",true,false,true,unverified,unverified,unverified,
SRC-010,Regulation (EU) 2024/1689 laying down harmonised rules on artificial intelligence (AI Act),European Parliament and Council of the European Union (EUR-Lex),https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,"Regulation (EU) 2024/1689 of 13 June 2024, OJ published 12 July 2024",true,false,true,unverified,unverified,unverified,
SRC-011,Regulation (EU) 2016/679 General Data Protection Regulation,European Parliament and Council of the European Union (EUR-Lex),https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679,"Regulation (EU) 2016/679, OJ L 119, 4 May 2016",true,false,true,unverified,unverified,unverified,
SRC-012,Principles for effective risk data aggregation and risk reporting (BCBS 239),"Basel Committee on Banking Supervision, Bank for International Settlements",https://www.bis.org/publ/bcbs239.pdf,January 2013,true,false,true,unverified,unverified,unverified,
SRC-013,Apache Iceberg Table Specification,Apache Software Foundation,https://raw.githubusercontent.com/apache/iceberg/main/format/spec.md,"Format versions 1, 2 and 3 adopted; version 4 in development (main branch, accessed 29 August 2026)",true,false,true,unverified,unverified,unverified,
SRC-014,SLSA Provenance specification v1.1,"Open Source Security Foundation (OpenSSF), Linux Foundation",https://slsa.dev/spec/v1.1/provenance,Version 1.1,true,false,true,unverified,unverified,unverified,
SRC-015,"Commission Regulation (EC) No 1205/2008 implementing Directive 2007/2/EC as regards metadata, Annex Part B section 6 (Quality and validity)","legislation.gov.uk (The National Archives), republishing Commission Regulation (EC) No 1205/2008",https://www.legislation.gov.uk/eur/2008/1205/annex/part/B/division/6/data.htm?view=plain,"Commission Regulation (EC) No 1205/2008 of 3 December 2008; retained-EU-law text as published by legislation.gov.uk, accessed 29 August 2026",true,false,true,unverified,unverified,unverified,
