registry_id,model_id,name,entry_kind,origin,status,nav_path,legacy_alias,parent_mm,contains_mm,priority_wave,priority_score,priority_rationale,factor_demand,factor_data,factor_reuse,factor_interop,factor_feasibility,factor_robotics,factor_overlap,external_merge_status,review_notes
vr.wm-act-015,WM-ACT-015,Occurrence / Event,standalone-mm,internal-desired,candidate,NAV.ACT.EVT,X1,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,
vr.wm-act-008,WM-ACT-008,Plan / Schedule,standalone-mm,internal-desired,candidate,NAV.ACT.PLN,K7,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,
vr.wm-act-005,WM-ACT-005,Project,standalone-mm,internal-desired,candidate,NAV.ACT.PRJ,K5,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,
vr.wm-act-006,WM-ACT-006,Task,standalone-mm,internal-desired,candidate,NAV.ACT.TSK,,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,
vr.wm-dat-001,WM-DAT-001,Dataset,standalone-mm,internal-desired,candidate,NAV.INF.DAT.SET,N3,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,
vr.wm-rec-001,WM-REC-001,Document / Record,standalone-mm,internal-desired,candidate,NAV.INF.REC.DOC,N1,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,
vr.wm-rec-003,WM-REC-003,Message,standalone-mm,internal-desired,candidate,NAV.INF.REC.MSG,N7,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,
vr.wm-sft-001,WM-SFT-001,Software Product,standalone-mm,internal-desired,candidate,NAV.INF.SFT.PRD,N4 / AISMM,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,"хост, не карточка-заглушка"
vr.wm-obj-001,WM-OBJ-001,Physical Item Instance,standalone-mm,internal-desired,candidate,NAV.PHY.OBJ.INST,M2,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,серийный экземпляр
vr.wm-obj-002,WM-OBJ-002,Product Type / Catalog Item,standalone-mm,internal-desired,candidate,NAV.PHY.OBJ.TYPE,,,,0,88,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,pending,"GTIN-класс, не экземпляр и не офер"
