source_id,verified_at,authority,version_status,claim_check,limitations
SRC-001,2026-09-06T20:18:00Z,CEN Transmodel,pinned v6.2,route and journey-pattern terminology verified,public-transport domain
SRC-002,2026-09-06T20:18:00Z,CEN Transmodel,accessed date pinned,route points and physical-path distinction verified,overview not normative clause set
SRC-003,2026-09-06T20:18:00Z,CEN NeTEx,family and access date pinned,official exchange-family scope verified,part-level field mapping deferred
SRC-004,2026-09-06T20:18:00Z,MobilityData,living spec accessed date pinned,routes trips stop-times shapes calendars transfers verified,GTFS profile is not universal terminology
SRC-005,2026-09-06T20:18:00Z,OGC,developing spec accessed date pinned,engine-independent API and route profiles verified,not claimed as approved standard
SRC-006,2026-09-06T20:18:00Z,OGC,pinned 19-041r3,pilot route exchange structure verified,engineering report not approved standard
SRC-007,2026-09-06T20:18:00Z,OGC,pinned 19-040,pilot route inputs and computation options verified,engineering report not approved standard
SRC-008,2026-09-06T20:18:00Z,OGC,current status accessed date pinned,Route Exchange Model 21-001 proposed status verified,status may change after access date
SRC-009,2026-09-06T20:18:00Z,OGC,pinned 1.1,feature geometry and query alignment verified,not a routing vocabulary
SRC-010,2026-09-06T20:18:00Z,IETF,pinned RFC 7946,portable GeoJSON geometry verified,encoding not canonical conceptual model
SRC-011,2026-09-06T20:18:00Z,ISO,pinned 19133:2005,navigation and network-routing scope verified,full text may require licensed access
SRC-012,2026-09-06T20:18:00Z,ISO,pinned 19141:2008 confirmed 2022,moving-feature trajectory boundary verified,full text may require licensed access
SRC-013,2026-09-06T20:18:00Z,European Union,pinned 2024/490,machine-readable itinerary and travel-data classes verified,EU jurisdiction only
SRC-014,2026-09-06T20:18:00Z,European Commission,accessed date pinned,multimodal information context verified,policy overview not field schema
SRC-015,2026-09-06T20:18:00Z,Schema.org,accessed date pinned,itinerary and Trip alignment verified,lightweight web vocabulary
SRC-016,2026-09-06T20:18:00Z,W3C,pinned 2022 draft,temporal concepts verified,candidate recommendation draft
SRC-017,2026-09-06T20:18:00Z,IETF,pinned RFC 3339,seconds and explicit offsets verified,does not define operating-day semantics
SRC-018,2026-09-06T20:18:00Z,W3C,pinned Recommendation,provenance and revision concepts verified,generic ontology
SRC-019,2026-09-06T20:18:00Z,W3C,pinned WG Note,quality concepts verified,non-normative note
SRC-020,2026-09-06T20:18:00Z,W3C,pinned Recommendation,permission and constraint concepts verified,policy vocabulary not authorization engine
SRC-021,2026-09-06T20:18:00Z,OGC,accessed date pinned,movement-standard family and route-trajectory boundary verified,multiple parts require exact projection pins
