left_id,left_name,right_id,right_name,name_similarity,token_jaccard,review
WM-ORG-005,Employment,WM-SFT-009,Deployment,0.900,0.000,boundary-or-synonym-review
WM-ACT-017,Situation,WM-VRT-003,Simulation,0.842,0.000,boundary-or-synonym-review
WM-OBJ-004,Food Product,WM-EAR-009,EO Product,0.818,0.333,boundary-or-synonym-review
WM-ECO-002,Price / Valuation,WM-XCT-038,Policy Evaluation,0.812,0.000,boundary-or-synonym-review
WM-KNW-008,Evidence / Citation,WM-XCT-028,Evidence / Rationale,0.800,0.333,boundary-or-synonym-review
WM-ACT-009,Method / Procedure,WM-ACT-047,Medical Procedure,0.788,0.333,boundary-or-synonym-review
WM-PER-011,Interpersonal Relationship,WM-ORG-012,Inter-organizational Relationship,0.780,0.250,boundary-or-synonym-review
WM-ORG-001,Organization,WM-ORG-019,Organization Policy,0.774,0.500,boundary-or-synonym-review
WM-ECO-004,Money / Instrument,WM-ECO-037,Debt Instrument,0.774,0.333,boundary-or-synonym-review
WM-XCT-016,Identity Register,WM-XCT-015,Event Register,0.774,0.333,boundary-or-synonym-review
WM-ORG-001,Organization,WM-ORG-002,Organizational Unit,0.774,0.000,boundary-or-synonym-review
WM-ECO-036,Insurance Claim,WM-ACT-045,Insurance Claim Handling,0.769,0.667,boundary-or-synonym-review
WM-PER-005,Population Group,WM-LIV-003,Population,0.769,0.500,boundary-or-synonym-review
WM-OBJ-005,Medicinal Product,WM-ACT-047,Medical Procedure,0.765,0.000,boundary-or-synonym-review
WM-DAT-003,Map Product,WM-EAR-009,EO Product,0.762,0.333,boundary-or-synonym-review
WM-REC-010,Decision / Approval Record,WM-ACT-024,Decision / Approval Activity,0.760,0.500,boundary-or-synonym-review
