source_id,verified_at,authority,version_evidence,scope_evidence,limitation
"SRC-001","2026-09-07T10:34:00Z","World Wide Web Consortium","Recommendation dated 9 February 2012","Official document defines media-resource properties and mappings","Intentionally does not distinguish every abstraction level and notes mapping loss"
"SRC-002","2026-09-07T10:34:00Z","Dublin Core Metadata Initiative","Recommendation dated 20 January 2020 at a living latest URL","Official terms define resource description, relation, format, extent, provenance and rights","Application profiles must supply domain-specific cardinality and constraints"
"SRC-003","2026-09-07T10:34:00Z","Internet Assigned Numbers Authority","Living registry opened through its canonical redirect","Official registry lists registered media types and suffixes","Registration identifies representation syntax, not creative-work or asset identity"
"SRC-004","2026-09-07T10:34:00Z","Internet Engineering Task Force","RFC 9530 dated February 2024","Official RFC distinguishes Content-Digest and Repr-Digest scope","A matching digest does not prove semantic equivalence, provenance or authority"
"SRC-005","2026-09-07T10:34:00Z","Internet Engineering Task Force","RFC 9110 dated June 2022","Official RFC defines resources, representations, negotiation, validators and ranges","HTTP retrieval semantics do not define preservation or rights policy"
"SRC-006","2026-09-07T10:34:00Z","Internet Engineering Task Force","RFC 8493 dated October 2018","Official RFC defines BagIt payload and tag manifests","BagIt packages and validates transfers but does not define media semantics"
"SRC-007","2026-09-07T10:34:00Z","Library of Congress","PREMIS 3.0 official page and data dictionary","Official page defines Objects, Events, Rights and Agents","Direct command-line request returned HTTP 403; current official indexed content was verified"
"SRC-008","2026-09-07T10:34:00Z","Library of Congress","Official METS maintenance site exposes METS 2 materials","Official page defines structural, file, descriptive and administrative sections","Direct command-line request returned HTTP 403; implementers must pin schema and profile"
"SRC-009","2026-09-07T10:34:00Z","Library of Congress and NISO","Official page identifies MIX 2.0 as current","Official page defines technical metadata for digital still images","Direct command-line request returned HTTP 403; MIX is image-specific"
"SRC-010","2026-09-07T10:34:00Z","Library of Congress","Official page identifies AudioMD and VideoMD 2.0 as current","Official page defines technical audio and video objects and extension use","Direct command-line request returned HTTP 403; schemas are medium-specific"
"SRC-011","2026-09-07T10:34:00Z","PBCore Metadata Standard","Official site identifies PBCore 2.1 as current","Official schema separates descriptions and instantiations with technical metadata","Broadcast-community practice is not a universal preservation profile"
"SRC-012","2026-09-07T10:34:00Z","European Broadcasting Union","Official EBU Tech 3293 page identifies EBUCore 1.10","Official specification covers media information and asset management","License and implementer-specific compliance rules must be respected"
"SRC-013","2026-09-07T10:34:00Z","International Press Telecommunications Council","Official document states 2025.1 revision 1 and Extension 1.9","Official standard covers descriptive, administrative, rights, accessibility and AI properties","IPTC states that specialized technical camera metadata is governed elsewhere"
"SRC-014","2026-09-07T10:34:00Z","International Press Telecommunications Council","Official recommendation identifies Video Metadata Hub 1.7 from October 2025","Official page defines descriptive, rights, administrative and technical video properties","Video-specific mappings require pinned XMP, EBUCore or JSON profiles"
"SRC-015","2026-09-07T10:34:00Z","IIIF Consortium","Official page identifies Image API 3.0.0 as current stable","Official API defines region, size, rotation, quality, format, service and compliance levels","Image-delivery services do not replace source rendition or rights identity"
"SRC-016","2026-09-07T10:34:00Z","IIIF Consortium","Official page identifies Presentation API 3.0.0 as current stable","Official API defines manifests, canvases, content resources, annotations and choices","Presentation ordering is a projection, not the asset master"
"SRC-017","2026-09-07T10:34:00Z","World Wide Web Consortium","Recommendation dated 23 February 2017","Official model defines annotations, bodies, targets, selectors, states and provenance","Annotation assertions remain distinct from the annotated rendition"
"SRC-018","2026-09-07T10:34:00Z","World Wide Web Consortium","Recommendation dated 30 April 2013","Official ontology defines entities, activities, agents and derivation","PROV supplies vocabulary rather than media-specific identity rules"
"SRC-019","2026-09-07T10:34:00Z","World Wide Web Consortium","Recommendation dated 15 February 2018","Official information model defines permissions, prohibitions, duties and constraints","Legal effect depends on issuer, agreement, jurisdiction and enforcement"
"SRC-020","2026-09-07T10:34:00Z","Coalition for Content Provenance and Authenticity","Official version history identifies C2PA 2.4 from April 2026","Official specification defines assets, derived assets, manifests, bindings, signatures and validation","Trust and cryptographic validity do not prove factual truth or legal permission"
"SRC-021","2026-09-07T10:34:00Z","World Wide Web Consortium","Living WebVTT specification opened from the official TR URL","Official specification defines timed text tracks and cues","WebVTT is one serialization and does not cover every caption workflow"
"SRC-022","2026-09-07T10:34:00Z","World Wide Web Consortium","Recommendation dated 5 October 2023","Official WCAG 2.2 requirements cover alternatives, captions and audio description","Applicability and legal obligation depend on content, platform and jurisdiction"
"SRC-023","2026-09-07T10:34:00Z","Internet Engineering Task Force","RFC 3339 dated July 2002","Official RFC defines timestamps with seconds and explicit offsets","Partial dates, frame timecodes and media timelines require separate modeling"
"SRC-024","2026-09-07T10:34:00Z","Internet Engineering Task Force Independent Stream","RFC 8785 dated June 2020","Official RFC defines deterministic JSON canonicalization","Canonical JSON bytes do not establish asset identity, truth or rights"
