source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,Core Public Service Vocabulary Application Profile,European Commission SEMIC,https://semiceu.github.io/CPSV-AP/releases/3.2.0/,CPSV-AP 3.2.0,false,false,true,true,unverified,unverified,unverified,
SRC-002,Core Criterion and Core Evidence Vocabulary,European Commission SEMIC,https://semiceu.github.io/CCCEV/releases/2.2.0/,CCCEV 2.2.0,false,false,true,true,unverified,unverified,unverified,
SRC-003,Regulation (EU) 2018/1724 establishing a Single Digital Gateway,European Union,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex%3A32018R1724,Regulation (EU) 2018/1724,false,false,true,true,unverified,unverified,unverified,
SRC-004,Commission Implementing Regulation (EU) 2022/1463,European Union,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32022R1463,Implementing Regulation (EU) 2022/1463,false,false,true,true,unverified,unverified,unverified,
SRC-005,LegalRuleML Core Specification Version 1.0,OASIS,https://docs.oasis-open.org/legalruleml/legalruleml-core-spec/v1.0/os/legalruleml-core-spec-v1.0-os.html,"OASIS Standard, 30 August 2021",false,false,true,true,unverified,unverified,unverified,
SRC-006,Streamlined presentation of UN/CEFACT standards,United Nations Economic Commission for Europe,https://unece.org/trade/uncefact/mainstandards,Official standards catalogue accessed 6 September 2026,false,false,true,true,unverified,unverified,unverified,
SRC-007,"Fishing Licence, Authorization and Permit Process Business Requirements Specification",United Nations Centre for Trade Facilitation and Electronic Business,https://unece.org/fileadmin/DAM/cefact/Standards/Agriculture/FLUX/FLUX_P1000-9_FLAP_domain_v1_1_1.pdf,FLUX FLAP domain version 1.1.1,false,false,true,true,unverified,unverified,unverified,
SRC-008,PROV-O: The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,"W3C Recommendation, 30 April 2013",false,false,true,true,unverified,unverified,unverified,
SRC-009,Time Ontology in OWL,World Wide Web Consortium,https://www.w3.org/TR/owl-time/,"W3C Candidate Recommendation Draft, 15 November 2022",false,false,true,true,unverified,unverified,unverified,
SRC-010,Date and Time on the Internet: Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339,"RFC 3339, July 2002",false,false,true,true,unverified,unverified,unverified,
