source_id,verified_at,authority,version_status,claim_check,limitations
SRC-001,2026-09-07T09:29:00Z,W3C,pinned Recommendation 2009,concept scheme label notation note relation collection mapping and integrity semantics verified,SKOS is intentionally lightweight and does not impose one universal hierarchy profile
SRC-002,2026-09-07T09:29:00Z,W3C,pinned Working Group Note 2009,multilingual scheme hierarchy collection and mapping guidance verified,Primer examples are informative rather than additional normative rules
SRC-003,2026-09-07T09:29:00Z,W3C,pinned Recommendation 2014,class property subclass subproperty domain range label and comment semantics verified,RDFS inference is not the default semantics of every taxonomy
SRC-004,2026-09-07T09:29:00Z,W3C,pinned Recommendation 2012,ontology identity import version IRI class axiom annotation and equivalence scope verified,OWL formal semantics require an explicit ontology profile
SRC-005,2026-09-07T09:29:00Z,W3C,pinned JSON-LD 1.1 Recommendation 2020,context IRI typed value language map and graph serialization scope verified,serialization context does not establish vocabulary authority
SRC-006,2026-09-07T09:29:00Z,W3C,pinned SHACL Recommendation 2017,graph constraint target severity result and report semantics verified,validation does not prove conceptual correctness
SRC-007,2026-09-07T09:29:00Z,W3C,pinned PROV-O Recommendation 2013,entity activity agent attribution derivation revision and invalidation verified,provenance does not establish truth or authority by itself
SRC-008,2026-09-07T09:29:00Z,W3C,pinned Working Group Note 2016,quality measurement annotation policy and provenance scope verified,DQV requires locally governed dimensions metrics and thresholds
SRC-009,2026-09-07T09:29:00Z,W3C,pinned DCAT 3 Recommendation 2024,catalog resource dataset distribution version relation access and rights scope verified,DCAT packages releases but does not define concept semantics
SRC-010,2026-09-07T09:29:00Z,ISO,pinned 25964-1:2011 confirmed 2022 with replacement pending,multilingual thesaurus development maintenance data model and exchange scope verified,licensed detail and imminent replacement require exact implementation pins
SRC-011,2026-09-07T09:29:00Z,ISO,pinned 25964-2:2013 confirmed 2023 with revision initiated 2026,vocabulary comparison interoperability and mapping maintenance scope verified,licensed detail and pending revision remain conformance holds
SRC-012,2026-09-07T09:29:00Z,ISO,pinned 704:2022,object concept characteristic definition designation and terminology-method scope verified,terminology work is a profile rather than a full exchange model
SRC-013,2026-09-07T09:29:00Z,ISO,pinned 1087:2019 confirmed 2025,terminology-work and terminology-science vocabulary scope verified,standard excludes computer-application-specific terminology
SRC-014,2026-09-07T09:29:00Z,NISO,pinned ANSI/NISO Z39.19-2005 R2010,controlled list synonym ring taxonomy thesaurus construction testing maintenance and management verified,monolingual profile does not cover every multilingual or ontological use
SRC-015,2026-09-07T09:29:00Z,DCMI,pinned Recommendation issued 2020,identifier title language rights version relation and vocabulary-encoding-scheme terms verified,DCMI metadata is descriptive rather than a taxonomy rule system
SRC-016,2026-09-07T09:29:00Z,Library of Congress,pinned published update 2015,authority variant scheme collection hierarchy mapping and real-world-object separation verified,LIS-specific authority profile is not universal
SRC-017,2026-09-07T09:29:00Z,IETF,pinned RFC 5646 and BCP 47,language-tag structure registry validity and preferred-value semantics verified,tag choice does not determine translation or concept equivalence
SRC-018,2026-09-07T09:29:00Z,IETF,pinned RFC 4647 and BCP 47,basic filtering extended filtering and language lookup verified,matching is application-configured and not semantic equality
SRC-019,2026-09-07T09:29:00Z,DataCite,pinned schema 4.7 March 2026,persistent resource metadata version relation subject rights and controlled-value scope verified,metadata schema does not own concept hierarchy
SRC-020,2026-09-07T09:29:00Z,RO-Crate Community,pinned long-term release 1.3,portable aggregate contextual entity action provenance and profile scope verified,packaging does not replace canonical source records
SRC-021,2026-09-07T09:29:00Z,W3C,pinned ODRL 2.2 Recommendation,permission prohibition duty constraint and party scope verified,ODRL is a rights and access projection rather than vocabulary governance
SRC-022,2026-09-07T09:29:00Z,IETF,pinned RFC 3339,seconds and explicit offset timestamp rule verified,semantic clock kinds require model rules
SRC-023,2026-09-07T09:29:00Z,IETF,pinned RFC 8785,deterministic JSON canonicalization for hashing and signing verified,canonical bytes do not establish concept identity or meaning
SRC-024,2026-09-07T09:29:00Z,ISO,pinned ISO/IEC 11179-3:2023,registry item identification designation definition registration classification and mapping metamodel verified,generic registry facilities require taxonomy-specific profiles
