"sequence","model_id","name","registry_id","entry_kind","nav_path","domain_tags","priority_score","priority_confidence","registry_review_state","stream_status"
"90","WM-XCT-037","Dependency / Impact","vr.wm-xct-037","mixin","NAV.XCT.DEP","XCT.DEP","86","low","boundary-review-required","queued"
"96","WM-BLT-001","Building / Structure","vr.wm-blt-001","standalone-mm","NAV.PHY.BLT.BLD","PHY.BLT.BLD","77","low","migration-boundary-review","queued"
"102","WM-KNW-005","Agent Skill / Instruction","vr.wm-knw-005","standalone-mm","NAV.INF.KNW.SKL","INF.KNW.SKL","77","low","first-pass-reviewed","queued"
"108","WM-PER-007","Personal Health","vr.wm-per-007","standalone-mm","NAV.SOC.PER.HLTH","SOC.PER.HLTH","77","low","migration-boundary-review","queued"
"114","WM-POL-009","Court / Arbitration Case","vr.wm-pol-009","standalone-mm","NAV.SOC.POL.CSE","SOC.POL.CSE","77","low","migration-boundary-review","queued"
"120","WM-ACT-026","Appointment / Reservation Event","vr.wm-act-026","standalone-mm","NAV.ACT.APT","ACT.APT","74","low","boundary-review-required","queued"
"126","WM-ACT-038","Learning Activity / Course Delivery","vr.wm-act-038","standalone-mm","NAV.ACT.EDU","ACT.EDU","74","low","boundary-review-required","queued"
"132","WM-ACT-046","Clinical Observation / Diagnosis","vr.wm-act-046","standalone-mm","NAV.ACT.HCR","ACT.HCR","74","low","boundary-review-required","queued"
"138","WM-ACT-053","Data Processing Job / Pipeline Run","vr.wm-act-053","standalone-mm","NAV.ACT.DATA","ACT.DATA","74","low","boundary-review-required","queued"
"144","WM-DAT-005","Data Pipeline","vr.wm-dat-005","standalone-mm","NAV.INF.DAT.PIP","INF.DAT.PIP","74","low","boundary-review-required","queued"
"150","WM-ECO-018","Financial Statement","vr.wm-eco-018","standalone-mm","NAV.SOC.ECO.STA","SOC.ECO.STA","74","low","boundary-review-required","queued"
"156","WM-ECO-026","Sales Lead / Opportunity","vr.wm-eco-026","standalone-mm","NAV.SOC.ECO.CRM","SOC.ECO.CRM","74","low","boundary-review-required","queued"
"162","WM-ECO-033","Regulatory Filing / Disclosure","vr.wm-eco-033","standalone-mm","NAV.SOC.ECO.REG","SOC.ECO.REG","74","low","boundary-review-required","queued"
"168","WM-FLW-009","Journey / Trip","vr.wm-flw-009","standalone-mm","NAV.PHY.FLW.MOB","PHY.FLW.MOB","74","low","boundary-review-required","queued"
"174","WM-KNW-009","Hypothesis","vr.wm-knw-009","standalone-mm","NAV.INF.KNW.HYP","INF.KNW.HYP","74","low","boundary-review-required","queued"
"180","WM-LIV-023","Clinical / Biological Specimen","vr.wm-liv-023","standalone-mm","NAV.PHY.LIV.SPM","PHY.LIV.SPM","74","low","boundary-review-required","queued"
"186","WM-OBJ-019","Component Type / Engineering BOM","vr.wm-obj-019","standalone-mm","NAV.PHY.OBJ.ASM","PHY.OBJ.ASM","74","low","boundary-review-required","queued"
"192","WM-ORG-015","Supplier / Partner Relationship","vr.wm-org-015","standalone-mm","NAV.SOC.ORG.SUP","SOC.ORG.SUP","74","low","boundary-review-required","queued"
"198","WM-POL-017","Administrative Procedure / Case","vr.wm-pol-017","standalone-mm","NAV.SOC.POL.ADM","SOC.POL.ADM","74","low","boundary-review-required","queued"
"204","WM-POL-027","Property Right / Tenure","vr.wm-pol-027","standalone-mm","NAV.SOC.POL.PRP","SOC.POL.PRP","74","low","boundary-review-required","queued"
"210","WM-REC-014","Configuration Record","vr.wm-rec-014","standalone-mm","NAV.INF.REC.CFG","INF.REC.CFG","74","low","boundary-review-required","queued"
"216","WM-SFT-018","Network / Endpoint","vr.wm-sft-018","standalone-mm","NAV.INF.SFT.NET","INF.SFT.NET","74","low","boundary-review-required","queued"
"222","WM-XCT-007","Access Breach / Enforcement","vr.wm-xct-007","mixin","NAV.XCT.ENF","XCT.ENF","65","low","migration-boundary-review","queued"
"228","WM-ACT-002","Act","vr.wm-act-002","standalone-mm","NAV.ACT.ACT","ACT.ACT","63","low","migration-boundary-review","queued"
"234","WM-ACT-012","Extraction Operation","vr.wm-act-012","standalone-mm","NAV.ACT.EXT","ACT.EXT","63","low","migration-boundary-review","queued"
"240","WM-ACT-022","Experiment / Trial","vr.wm-act-022","standalone-mm","NAV.ACT.EXP","ACT.EXP","63","low","first-pass-reviewed","queued"
"246","WM-ECO-010","Clearing / Settlement","vr.wm-eco-010","standalone-mm","NAV.SOC.ECO.STL","SOC.ECO.STL","63","low","migration-boundary-review","queued"
"252","WM-KNW-003","Intellectual Property Right","vr.wm-knw-003","standalone-mm","NAV.INF.KNW.IP","INF.KNW.IP","63","low","migration-boundary-review","queued"
"258","WM-PER-002","Digital Identity / Account","vr.wm-per-002","standalone-mm","NAV.SOC.PER.DIG","SOC.PER.DIG","63","low","migration-boundary-review","queued"
"264","WM-POL-003","Election","vr.wm-pol-003","standalone-mm","NAV.SOC.POL.ELC","SOC.POL.ELC","63","low","migration-boundary-review","queued"
"270","WM-POL-012","Public Benefit / Program","vr.wm-pol-012","standalone-mm","NAV.SOC.POL.PRG","SOC.POL.PRG","63","low","migration-boundary-review","queued"
"276","WM-REC-006","Requirement","vr.wm-rec-006","view-candidate","NAV.INF.REC.REQ","INF.REC.REQ","63","low","first-pass-reviewed","queued"
"282","WM-VRT-005","Online Account","vr.wm-vrt-005","standalone-mm","NAV.INF.VRT.ACC","INF.VRT.ACC","63","low","first-pass-reviewed","queued"
"288","WM-BLT-003","Infrastructure Network","vr.wm-blt-003","standalone-mm","NAV.PHY.BLT.NET","PHY.BLT.NET","61","low","migration-boundary-review","queued"
"294","WM-DAT-011","Knowledge Graph","vr.wm-dat-011","standalone-mm","NAV.INF.DAT.KG","INF.DAT.KG","61","low","boundary-review-required","queued"
"300","WM-FLW-002","Water Supply","vr.wm-flw-002","standalone-mm","NAV.PHY.FLW.H2O","PHY.FLW.H2O","61","low","migration-boundary-review","queued"
"306","WM-FLW-014","Network Flow / Telemetry Stream","vr.wm-flw-014","standalone-mm","NAV.PHY.FLW.NET","PHY.FLW.NET","61","low","boundary-review-required","queued"
"312","WM-LIV-017","Pedigree / Biological Lineage","vr.wm-liv-017","pattern","NAV.PHY.LIV.LIN","PHY.LIV.LIN","61","low","boundary-review-required","queued"
"318","WM-MAT-003","Mixture / Formulation","vr.wm-mat-003","standalone-mm","NAV.PHY.MAT.CHEM","PHY.MAT.CHEM","61","low","first-pass-reviewed","queued"
"324","WM-MED-005","Image / Graphic","vr.wm-med-005","standalone-mm","NAV.INF.MED.IMG","INF.MED.IMG","61","low","boundary-review-required","queued"
"330","WM-OBJ-006","Equipment / Machinery","vr.wm-obj-006","standalone-mm","NAV.PHY.OBJ.EQPT","PHY.OBJ.EQPT","61","low","migration-boundary-review","queued"
"336","WM-OBJ-013","Controlled Item","vr.wm-obj-013","standalone-mm","NAV.PHY.OBJ.CON","PHY.OBJ.CON","61","low","first-pass-reviewed","queued"
"342","WM-OBJ-023","Meter / Measuring Instrument","vr.wm-obj-023","standalone-mm","NAV.PHY.OBJ.DEV","PHY.OBJ.DEV","61","low","boundary-review-required","queued"
"348","WM-PLC-005","Settlement / Urban Form","vr.wm-plc-005","standalone-mm","NAV.PHY.PLC.SET","PHY.PLC.SET","61","low","migration-boundary-review","queued"
"354","WM-POL-023","Enforcement Action","vr.wm-pol-023","standalone-mm","NAV.SOC.POL.ENF","SOC.POL.ENF","61","low","boundary-review-required","queued"
"360","WM-VRT-008","Virtual Persona / Avatar","vr.wm-vrt-008","standalone-mm","NAV.INF.VRT.AVT","INF.VRT.AVT","61","low","boundary-review-required","queued"
"366","WM-VRT-003","Simulation","vr.wm-vrt-003","standalone-mm","NAV.INF.VRT.SIM","INF.VRT.SIM","60","low","first-pass-reviewed","queued"
"372","WM-CIV-006","Science System","vr.wm-civ-006","standalone-mm","NAV.SOC.CIV.SCI","SOC.CIV.SCI","45","low","first-pass-reviewed","queued"
"378","WM-EAR-005","Natural Hazard","vr.wm-ear-005","standalone-mm","NAV.PHY.EAR.HAZ","PHY.EAR.HAZ","45","low","migration-boundary-review","queued"
"384","WM-LIV-003","Population","vr.wm-liv-003","standalone-mm","NAV.PHY.LIV.POP","PHY.LIV.POP","45","low","migration-boundary-review","queued"
"390","WM-LIV-009","Cultivated Organism","vr.wm-liv-009","standalone-mm","NAV.PHY.LIV.CUL","PHY.LIV.CUL","45","low","migration-boundary-review","queued"
"396","WM-LIV-020","Microbiome / Biological Community","vr.wm-liv-020","standalone-mm","NAV.PHY.LIV.MIC","PHY.LIV.MIC","43","low","boundary-review-required","queued"
