source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,"Observations, Measurements, and Samples (OMS)",Open Geospatial Consortium,https://www.ogc.org/standards/om/,"OMS version 3.0, OGC Abstract Specification Topic 20 (OGC 20-082r4), published jointly as ISO 19156:2023",true,false,true,unverified,unverified,unverified,
SRC-002,OMS Abstract Specification feature catalogue input (opengeospatial/om-swg),Open Geospatial Consortium (OMS Standards Working Group),https://raw.githubusercontent.com/opengeospatial/om-swg/master/oms-abstract-spec/work/shapechange/results/ogc/oms/featurecatalogue/INPUT/oms.md,"Working feature catalogue, draft status, dated 2021-08-20 in the document header",true,false,true,unverified,unverified,unverified,
SRC-003,"Semantic Sensor Network Ontology (SOSA/SSN), 2023 Edition",W3C / Open Geospatial Consortium,https://www.w3.org/TR/vocab-ssn-2023/,"2023 Edition; namespace http://www.w3.org/ns/sosa/, version IRI http://www.w3.org/ns/sosa/2023/; document state as retrieved 2026-09-03",true,false,true,unverified,unverified,unverified,
SRC-004,"OGC SensorThings API Part 1: Sensing, Version 1.1 (OGC 18-088)",Open Geospatial Consortium,https://docs.ogc.org/is/18-088/18-088.html,"Version 1.1, published 2021-08-04",true,false,true,unverified,unverified,unverified,
SRC-005,OGC Timeseries Profile of Observations and Measurements (OGC 15-043r3),Open Geospatial Consortium,https://docs.ogc.org/is/15-043r3/15-043r3.html,"Version 1.0, published 2016-09-09",true,false,true,unverified,unverified,unverified,
SRC-006,PROV-O: The PROV Ontology,W3C,https://www.w3.org/TR/prov-o/,"W3C Recommendation, 30 April 2013; namespace http://www.w3.org/ns/prov#",true,false,true,unverified,unverified,unverified,
SRC-007,RFC 3339: Date and Time on the Internet: Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339,"July 2002, Proposed Standard (updated by RFC 9557)",true,false,true,unverified,unverified,unverified,
SRC-008,JCGM Publications: Guides in Metrology (JCGM 100:2008 GUM; JCGM 200:2012 VIM; JCGM 106:2012; JCGM GUM-6:2020),Bureau International des Poids et Mesures / Joint Committee for Guides in Metrology,https://www.bipm.org/en/committees/jc/jcgm/publications,"JCGM 100:2008 (with Amd.1:2026), JCGM 101:2008, JCGM 102:2011, JCGM 106:2012, JCGM 200:2012, JCGM GUM-1:2023, JCGM GUM-6:2020; publications page as retrieved 2026-09-03",true,false,true,unverified,unverified,unverified,
SRC-009,The Unified Code for Units of Measure (UCUM) Specification,"Regenstrief Institute, Inc. and the UCUM Organization",https://ucum.org/ucum,"Version 2.2, released 17 June 2024",true,false,true,unverified,unverified,unverified,
SRC-010,"QUDT Ontologies (Quantities, Units, Dimensions and Data Types)",QUDT.org,https://www.qudt.org/,Release 2.1; site last updated 1 March 2022,true,false,true,unverified,unverified,unverified,
SRC-011,HL7 FHIR Observation resource,Health Level Seven International,https://hl7.org/fhir/observation.html,FHIR Release 5 (v5.0.0),true,false,true,unverified,unverified,unverified,
SRC-012,ILAC Guidance Series (ILAC-G8:09/2019 Guidelines on Decision Rules and Statements of Conformity; ILAC-G17:01/2021 ILAC Guidelines for Measurement Uncertainty in Testing),International Laboratory Accreditation Cooperation,https://ilac.org/publications-and-resources/ilac-guidance-series/,ILAC-G8 September 2019; ILAC-G17 January 2021,true,false,true,unverified,unverified,unverified,
SRC-013,'GXP' Data Integrity Guidance and Definitions,Medicines and Healthcare products Regulatory Agency (UK),https://www.gov.uk/government/publications/guidance-on-gxp-data-integrity,Published 9 March 2018; last updated 27 September 2021; notes that the OECD Advisory Document on Data Integrity (September 2021) takes precedence for GLP facilities,true,false,true,unverified,unverified,unverified,
SRC-014,Data Catalog Vocabulary (DCAT) - Version 3,W3C,https://www.w3.org/TR/vocab-dcat-3/,"W3C Recommendation, 22 August 2024",true,false,true,unverified,unverified,unverified,
SRC-015,QARTOD - Quality Assurance / Quality Control of Real Time Oceanographic Data,NOAA U.S. Integrated Ocean Observing System (IOOS),https://ioos.noaa.gov/project/qartod/,Programme active since 2003; Manual for Oceanographic Data Quality Control Flags version 1.2 final; manuals for 14 core variables described as living documents,true,false,true,unverified,unverified,unverified,
SRC-016,"WIGOS Metadata Guidelines for Data Providers (wmo-im/et-acdm wiki, referencing WMO-No. 1192 and schemas.wmo.int/wmdr)","World Meteorological Organization (Expert Team on Metadata, Information Management)",https://github.com/wmo-im/et-acdm/wiki/wigos-metadata-guidelines-for-data-providers,WMO-No. 1192 WIGOS Metadata Standard cited as the published standard; wiki page as retrieved 2026-09-03,true,false,true,unverified,unverified,unverified,
