source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,Conceptual Framework for Financial Reporting,IFRS Foundation,https://www.ifrs.org/issued-standards/list-of-standards/conceptual-framework/,Revised March 2018 current 2026 issued text,false,false,true,true,verified,verified,public-material-only,Reporting entity elements recognition measurement presentation faithful representation and uncertainty.
SRC-002,IAS 1 Presentation of Financial Statements,IFRS Foundation,https://www.ifrs.org/issued-standards/list-of-standards/ias-1-presentation-of-financial-statements.html/,Current at access superseded by IFRS 18 from 1 January 2027 unless early applied,false,false,true,true,verified,current-at-access,public-material-only,Complete statement set financial position performance equity cash flows notes comparatives and compliance.
SRC-003,IAS 7 Statement of Cash Flows,IFRS Foundation,https://www.ifrs.org/issued-standards/list-of-standards/ias-7-statement-of-cash-flows/,Current at access amended for IFRS 18 effective 2027,false,false,true,true,verified,current-at-access,public-material-only,Cash flow classifications and reconciliation to statement-of-financial-position amounts.
SRC-004,IFRS 18 Presentation and Disclosure in Financial Statements,IFRS Foundation,https://www.ifrs.org/issued-standards/list-of-standards/ifrs-18-presentation-and-disclosure-in-financial-statements/,Issued April 2024 effective 1 January 2027 early application permitted,false,false,true,true,verified,verified,public-material-only,Presentation disclosure statement-set comparatives categories and defined subtotals.
SRC-005,IFRS Accounting Taxonomy 2025,IFRS Foundation,https://www.ifrs.org/issued-standards/ifrs-taxonomy/ifrs-accounting-taxonomy-2025/,Published 27 March 2025 remains current for 2026 reporting,false,false,true,true,verified,verified,verified,Digital reporting concepts groups facts dimensions labels references entry points and formulas.
SRC-006,XBRL 2.1,XBRL International,https://specifications.xbrl.org/work-product-index-group-base-spec-base-spec.html,Recommendation 20 February 2013 conformance suite 16 July 2025,false,false,true,true,verified,verified,verified,Facts concepts contexts entities periods scenarios units decimals footnotes and validation.
SRC-007,Inline XBRL 1.1,XBRL International,https://specifications.xbrl.org/work-product-index-inline-xbrl-inline-xbrl-1.1.html,Recommendation edition 14 July 2026,false,false,true,true,verified,verified,verified,Embedding XBRL facts and references in human-readable HTML.
SRC-008,Open Information Model 1.0,XBRL International,https://specifications.xbrl.org/work-product-index-open-information-model-open-information-model.html,Recommendations 19 April 2023 xBRL-CSV constraints proposed 5 May 2026,false,false,true,true,verified,verified,verified,Syntax-independent XBRL report model and XML JSON CSV representations.
SRC-009,Regulation S-X and disclosure rules,United States Securities and Exchange Commission,https://www.sec.gov/about/divisions-offices/division-corporation-finance/rules-regulations-schedules,17 CFR Part 210 current at access,false,false,true,true,verified,current-at-access,verified,Form content and requirements for financial statements filed with SEC.
SRC-010,2026 XBRL Taxonomies Update,United States Securities and Exchange Commission,https://www.sec.gov/newsroom/whats-new/2603-2026-xbrl-taxonomies-update,EDGAR release 26.1 supported 16 March 2026,false,false,true,true,verified,verified,verified,SEC-supported taxonomy versions and filing compatibility.
SRC-011,2026 GAAP Financial Reporting Taxonomy,Financial Accounting Standards Board,https://xbrl.fasb.org/us-gaap/2026/,2026 files published December 2025,false,false,true,true,verified,verified,authorized-use-only,US GAAP concepts statement structures calculations dimensions and references; use subject to posted terms.
SRC-012,Commission Delegated Regulation EU 2019/815 consolidated text,European Union,https://eur-lex.europa.eu/legal-content/en/ALL/?uri=CELEX%3A02019R0815-20260407,Consolidated 7 April 2026,false,false,true,true,verified,verified,verified,ESEF annual-report format and IFRS consolidated-statement markup.
SRC-013,ESEF Reporting Manual,European Securities and Markets Authority,https://www.esma.europa.eu/sites/default/files/library/esma32-60-254_esef_reporting_manual.pdf,2025 update dated 14 October 2025,false,false,true,true,verified,verified,verified,ESEF annual-report implementation guidance.
SRC-014,2025 Handbook of International Public Sector Accounting Pronouncements,International Public Sector Accounting Standards Board,https://www.ipsasb.org/publications/2025-handbook-international-public-sector-accounting-pronouncements,Current edition 5 May 2025 standards as of 31 January 2025,false,false,true,true,verified,verified,public-material-only,Public-sector accounting standards and conceptual framework profile.
SRC-015,PROV-O The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,W3C Recommendation 30 April 2013,false,false,true,true,verified,verified,verified,Entity activity agent attribution derivation revision and qualified provenance.
SRC-016,Data on the Web Best Practices Data Quality Vocabulary,World Wide Web Consortium,https://www.w3.org/TR/vocab-dqv/,W3C Working Group Note 15 December 2016,false,false,true,true,verified,verified,verified,Quality dimensions metrics measurements annotations policies and certificates.
SRC-017,Date and Time on the Internet Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/info/rfc3339/,RFC 3339 July 2002 updated by RFC 9557,false,false,true,true,verified,verified,verified,Timestamps with seconds and explicit UTC relationship.
