source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,Web Annotation Data Model,World Wide Web Consortium (W3C),https://www.w3.org/TR/annotation-model/,"W3C Recommendation, 23 February 2017",true,false,true,unverified,unverified,unverified,
SRC-002,PROV-O: The PROV Ontology,World Wide Web Consortium (W3C),https://www.w3.org/TR/prov-o/,"W3C Recommendation, 30 April 2013",true,false,true,unverified,unverified,unverified,
SRC-003,"CiTO, the Citation Typing Ontology",SPAR Ontologies (Silvio Peroni and David Shotton),https://sparontologies.github.io/cito/current/cito.html,"Version 2.8.2, namespace http://purl.org/spar/cito/",true,false,true,unverified,unverified,unverified,
SRC-004,RFC 3339: Date and Time on the Internet: Timestamps,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc3339.html,"Standards Track, July 2002",true,false,true,unverified,unverified,unverified,
SRC-005,RFC 8574: cite-as: A Link Relation to Convey a Preferred URI for Referencing,IETF / RFC Editor (Independent Submission),https://www.rfc-editor.org/rfc/rfc8574.html,"Informational, April 2019",true,false,true,unverified,unverified,unverified,
SRC-006,RFC 7089: HTTP Framework for Time-Based Access to Resource States -- Memento,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc7089.html,"Informational, December 2013",true,false,true,unverified,unverified,unverified,
SRC-007,"DataCite Metadata Schema 4.6, Appendix relationType",DataCite,https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/relationType/,Schema version 4.6,true,false,true,unverified,unverified,unverified,
SRC-008,Verifiable Credentials Data Model v2.0,World Wide Web Consortium (W3C),https://www.w3.org/TR/vc-data-model-2.0/,"W3C Recommendation, 15 May 2025",true,false,true,unverified,unverified,unverified,
SRC-009,Evidence and Conclusion Ontology (ECO),OBO Foundry / Evidence Ontology project,https://obofoundry.org/ontology/eco.html,"OBO Foundry registry entry, CC0 1.0; release date not stated on the registry page (accessed 2026-09-02)",true,false,true,unverified,unverified,unverified,
SRC-010,GRADE Handbook for grading the quality of evidence and the strength of recommendations,GRADE Working Group,https://gdt.gradepro.org/app/handbook/handbook.html,Updated October 2013,true,false,true,unverified,unverified,unverified,
SRC-011,Content Credentials: C2PA Technical Specification,Coalition for Content Provenance and Authenticity (C2PA),https://spec.c2pa.org/specifications/specifications/2.2/specs/C2PA_Specification.html,"Version 2.2, May 2025",true,false,true,unverified,unverified,unverified,
SRC-012,ClaimReview (schema.org type),schema.org,https://schema.org/ClaimReview,"schema.org version 30.0, 19 March 2026",true,false,true,unverified,unverified,unverified,
SRC-013,"NISO RP-45-2024, Communication of Retractions, Removals, and Expressions of Concern (CREC)",National Information Standards Organization (NISO),https://www.niso.org/publications/rp-45-2024-crec,"Recommended Practice, published 27 June 2024, DOI 10.3789/niso-rp-45-2024",true,false,true,unverified,unverified,unverified,
