source_id,verified_at,authority,version_status,claim_check,limitations
"SRC-001","2026-09-07T10:21:00Z","HL7 International","FHIR R5 5.0.0 Trial Use maturity 2","Official resource defines specimen identifiers, accession, status, source, collection, processing, containers and parent links","Clinical exchange resource and Trial Use maturity do not define universal mastership"
"SRC-002","2026-09-07T10:21:00Z","ISO","ISO 20658:2023 edition 1","Official ISO abstract covers request, patient preparation and identification, collection and transport","Licensed detail is not reproduced; automated verification received anti-bot HTTP 403"
"SRC-003","2026-09-07T10:21:00Z","ISO","ISO 15189:2022 edition 4","Official ISO abstract defines medical-laboratory quality and competence requirements","Licensed detail is not reproduced; automated verification received anti-bot HTTP 403"
"SRC-004","2026-09-07T10:21:00Z","ISO","ISO 20387:2018 edition 1, revision in progress","Official ISO abstract covers biobank competence, impartiality, consistent operation and quality control","Licensed detail is not reproduced; automated verification received anti-bot HTTP 403 and a replacement is in development"
"SRC-005","2026-09-07T10:21:00Z","WHO","WHO LQMS handbook 2011","Official handbook portal confirms collection, labeling, acceptance, transport, storage, disposal and quality-management scope","Guidance requires local clinical and laboratory profiles"
"SRC-006","2026-09-07T10:21:00Z","National Cancer Institute","Portal updated 26 September 2023","Official portal defines operational, technical, ethical, legal and policy biospecimen practices","Recommendations require adaptation to mission and scientific need"
"SRC-007","2026-09-07T10:21:00Z","ISBER","Best Practices fifth edition, December 2023","Official page describes evidence- and consensus-based collection, storage, retrieval and distribution practices","Advisory content and translations have use limits; automated verification received anti-bot HTTP 403"
"SRC-008","2026-09-07T10:21:00Z","ISBER","SPREC 3.0, 2018","Official hosted publication defines critical preanalytical variables for solid and fluid specimens","SPREC codes supplement rather than replace event-level provenance"
"SRC-009","2026-09-07T10:21:00Z","BBMRI-ERIC","MIABIS Core 3.0 plus individual-level components","Official documentation defines biobank, collection, resource, donor, sample and event information","Components and aggregate versus individual levels require exact profile pins"
"SRC-010","2026-09-07T10:21:00Z","NCBI","Living BioSample documentation","Official database stores descriptions of physical biological materials and links derived archive data","Archive records do not replace local physical custody or consent"
"SRC-011","2026-09-07T10:21:00Z","NCBI","Packages through MIxS version 6.0","Official page publishes versioned packages for human, animal, plant, microbial and environmental samples","Required attributes vary by package and evolve"
"SRC-012","2026-09-07T10:21:00Z","GA4GH","Phenopacket Schema 2.0 stable documentation","Official biosample model separates id, individual, parent, tissue, type, collection time, pathology and processing","Clinical-genomics scope and exact schema release must be pinned"
"SRC-013","2026-09-07T10:21:00Z","TDWG","Darwin Core vocabulary 2026-05-26","Official normative list defines MaterialEntity, MaterialSample, sampling events, locations, taxa and preparations","Biodiversity exchange terms do not supply laboratory quality or clinical consent rules"
"SRC-014","2026-09-07T10:21:00Z","GGBN","Data Standard v1, 4 October 2016","Official standard defines biological sample facts, preparation, quantity, quality, storage and permits","Designed to combine with Darwin Core or ABCD rather than stand alone"
"SRC-015","2026-09-07T10:21:00Z","Genomic Standards Consortium","Living MIxS documentation","Official standard defines sequence-sample metadata checklists and environmental extensions","Sequence-context metadata does not own physical specimen lifecycle"
"SRC-016","2026-09-07T10:21:00Z","OBI Consortium","Living ontology repository","Official repository defines specimens, assays, devices, material processing and investigation terms","Living ontology requires exact release IRI and imported-ontology pins"
"SRC-017","2026-09-07T10:21:00Z","World Medical Association","Declaration revised 2016, revision in progress","Official policy defines human-biobank consent, withdrawal, privacy, governance, transfer, retention and destruction principles","Ethical guidance does not replace applicable law and is currently under revision"
"SRC-018","2026-09-07T10:21:00Z","Convention on Biological Diversity","Nagoya Protocol adopted 2010 and in force 2014","Official treaty defines access, prior informed consent, mutually agreed terms and benefit sharing","Applicability depends on jurisdiction, material, provenance, utilization and treaty exclusions"
"SRC-019","2026-09-07T10:21:00Z","European Union","Regulation (EU) 2016/679 official text","Official law defines special protection for genetic and health data and processing principles","Territorial scope, lawful basis, Member State law and research derogations require legal review"
"SRC-020","2026-09-07T10:21:00Z","W3C","Recommendation dated 30 April 2013","Official ontology defines entity, activity, agent, derivation, attribution and invalidation provenance","Domain-specific physical custody and quantity rules remain required"
"SRC-021","2026-09-07T10:21:00Z","W3C","Working Group Note dated 15 December 2016","Official vocabulary defines quality measurements, annotations and policies","DQV supplies vocabulary rather than specimen-specific thresholds"
"SRC-022","2026-09-07T10:21:00Z","W3C","Recommendation dated 15 February 2018","Official model defines permissions, prohibitions, duties and constraints","Legal effect and enforcement depend on jurisdiction and implementation"
"SRC-023","2026-09-07T10:21:00Z","IETF","RFC 3339 dated July 2002","Official RFC defines timestamps with seconds and explicit offsets","Partial or uncertain dates and biological age need separate modeling"
"SRC-024","2026-09-07T10:21:00Z","IETF Independent Stream","RFC 8785 dated June 2020","Official RFC defines deterministic JSON canonicalization","Canonical bytes do not establish material identity, custody or truth"
