source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,Streamlined presentation of UN/CEFACT standards,United Nations Economic Commission for Europe,https://unece.org/trade/uncefact/mainstandards,Current catalogue accessed 2026-09-06; MMT RDM releases listed by version,false,false,true,true,unverified,unverified,unverified,
SRC-002,Recommendation No. 16: United Nations Code for Trade and Transport Locations,United Nations Economic Commission for Europe,https://unlocode.unece.org/recommendation16/,"Fourth edition, 2020",false,false,true,true,unverified,unverified,unverified,
SRC-003,EPCIS Standard,GS1,https://ref.gs1.org/standards/epcis/2.0.1/,"EPCIS 2.0.1, 1 July 2025",false,false,true,true,unverified,unverified,unverified,
SRC-004,Core Business Vocabulary Standard,GS1,https://ref.gs1.org/standards/cbv/2.0.0/,"CBV 2.0, ratified June 2022",false,false,true,true,unverified,unverified,unverified,
SRC-005,Track and Trace standard documentation,Digital Container Shipping Association,https://dcsa.org/standards/track-and-trace/standard-documentation-track-and-trace,Track and Trace 2.2 with Industry Blueprint 3.0 references,false,false,true,true,unverified,unverified,unverified,
SRC-006,ONE Record Ontology,International Air Transport Association,https://onerecord.iata.org/ns/cargo/3.2.0,"Revision 3.2.0, modified 24 June 2025",false,false,true,true,unverified,unverified,unverified,
SRC-007,WCO Data Model,World Customs Organization,https://www.wcoomd.org/DataModel,Current official portal accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-008,Convention on Facilitation of International Maritime Traffic,International Maritime Organization,https://www.imo.org/en/about/conventions/pages/convention-on-facilitation-of-international-maritime-traffic-%28fal%29.aspx,FAL Convention overview including amendments effective 1 January 2024,false,false,true,true,unverified,unverified,unverified,
SRC-009,PROV-O: The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,"W3C Recommendation, 30 April 2013",false,false,true,true,unverified,unverified,unverified,
SRC-010,RFC 3339: Date and Time on the Internet: Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339,"RFC 3339, July 2002",false,false,true,true,unverified,unverified,unverified,
