source_id,organization,title,url,version_or_date,live_status,claim_support_status,notes
SRC-001,UNCITRAL,United Nations Convention on Contracts for the International Sale of Goods,https://uncitral.un.org/sites/default/files/media-documents/uncitral/en/v1056997-cisg-e-book.pdf,United Nations publication 2010; Convention 1980,verified,verified,Official Convention text supports formation-event distinctions and receipt semantics.
SRC-002,UNIDROIT,UNIDROIT Principles of International Commercial Contracts 2016,https://www.unidroit.org/instruments/commercial-contracts/unidroit-principles-2016/,Fourth edition 2016,verified,verified,Official source supports offer definiteness intent effectiveness revocation acceptance and modified acceptance.
SRC-003,European Union,Directive 2011/83/EU on consumer rights,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32011L0083,Consolidated context current at access,verified,verified,Official legislation supports pre-contract price identity delivery payment duration and disclosure fields.
SRC-004,OASIS Open,Universal Business Language Version 2.3,https://docs.oasis-open.org/ubl/os-UBL-2.3/UBL-2.3.html,OASIS Standard 2021-06-15,verified,verified,Official standard supports quotation process parties items pricing taxes allowances and terms.
SRC-005,OASIS Open,UBL 2.3 Quotation data model,https://docs.oasis-open.org/ubl/os-UBL-2.3/mod/summary/reports/UBL-Quotation-2.3.html,OASIS Standard data model 2021-06-15,verified,verified,Official schema summary supports quotation aggregate and line-level structure.
SRC-006,OASIS Open,UBL 2.3 Request For Quotation data model,https://docs.oasis-open.org/ubl/os-UBL-2.3/mod/summary/reports/UBL-RequestForQuotation-2.3.html,OASIS Standard data model 2021-06-15,verified,verified,Official schema separates RFQ from quotation response.
SRC-007,Schema.org Community Group,Offer,https://schema.org/Offer,Living vocabulary accessed 2026-09-06,verified,verified,Official vocabulary page supports discovery fields for subjects sellers eligibility availability prices and shipping.
SRC-008,Schema.org Community Group,PriceSpecification,https://schema.org/PriceSpecification,Living vocabulary accessed 2026-09-06,verified,verified,Official vocabulary page supports detailed and compound pricing components.
SRC-009,GS1,GS1 Web Vocabulary,https://ref.gs1.org/voc/,Live vocabulary accessed 2026-09-06,verified,verified,Official vocabulary supports product offer organization price quantity currency and validity fields.
SRC-010,UNECE,Recommendation No. 20,https://unece.org/trade/documents/session-documents/codes-units-measure-used-international-trade-recommendation,Revision 7 page current at access,verified-web-index-direct-403,verified,Official recommendation supplies trade quantity and unit codes; direct automated access is blocked by the publisher.
SRC-011,SIX Financial Information,Global Financial Data Standards: ISO 4217 Currency Codes,https://www.six-group.com/en/products-services/financial-information/market-reference-data/data-standards.html,ISO 4217 Maintenance Agency lists current at access,verified,verified,Official Maintenance Agency page supports maintained alphabetic numeric and minor-unit currency identifiers.
SRC-012,W3C,ODRL Information Model 2.2,https://www.w3.org/TR/odrl-model/,W3C Recommendation 2018-02-15,verified,verified,Official standard defines Offer policy assigner permissions prohibitions duties and constraints.
SRC-013,W3C,PROV-O,https://www.w3.org/TR/prov-o/,W3C Recommendation 2013-04-30,verified,verified,Official ontology supports derivation attribution revision and qualified provenance.
SRC-014,W3C,Data Quality Vocabulary,https://www.w3.org/TR/vocab-dqv/,W3C Working Group Note 2016-12-15,verified,verified,Official vocabulary supports quality metrics measurements and annotations.
SRC-015,IETF,RFC 3339,https://www.rfc-editor.org/info/rfc3339/,RFC 3339 July 2002 updated by RFC 9557,verified,verified,Official RFC metadata supports timestamp profile with seconds and UTC offset.
SRC-016,JSON Schema organization,JSON Schema Draft 2020-12,https://json-schema.org/draft/2020-12,Draft 2020-12,verified,verified,Official specification set supports machine-validatable JSON projections.
SRC-017,OpenAPI Initiative,OpenAPI Specification 3.1.1,https://spec.openapis.org/oas/v3.1.1.html,Version 3.1.1 2024-10-24,verified,verified,Official specification supports HTTP API projection contracts.
