source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,Decision Model and Notation (DMN),Object Management Group,https://www.omg.org/spec/DMN/,"Version 1.5, current formal version listed August 2024",true,false,true,unverified,unverified,unverified,
SRC-002,DMN 1.5 XML Schema (DMN15.xsd),Object Management Group,https://www.omg.org/spec/DMN/20230324/DMN15.xsd,"DMN 1.5 schema, namespace date 2023-03-24",true,false,true,unverified,unverified,unverified,
SRC-003,PROV-O: The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,"W3C Recommendation, 30 April 2013",true,false,true,unverified,unverified,unverified,
SRC-004,eXtensible Access Control Markup Language (XACML) Version 3.0,OASIS,https://docs.oasis-open.org/xacml/3.0/xacml-3.0-core-spec-os-en.html,"OASIS Standard, 22 January 2013",true,false,true,unverified,unverified,unverified,
SRC-005,"NIST SP 800-37 Rev. 2, Risk Management Framework for Information Systems and Organizations",National Institute of Standards and Technology,https://csrc.nist.gov/pubs/sp/800/37/r2/final,"Revision 2, December 2018",true,false,true,unverified,unverified,unverified,
SRC-006,21 CFR Part 11 — Electronic Records; Electronic Signatures,U.S. Food and Drug Administration (via GPO govinfo),https://www.govinfo.gov/content/pkg/CFR-2023-title21-vol1/xml/CFR-2023-title21-vol1-part11.xml,"CFR 2023 edition, Title 21 Part 11 (revised as of 1 April 2023)",true,false,true,unverified,unverified,unverified,
SRC-007,Regulation (EU) 2016/679 (General Data Protection Regulation),European Union (EUR-Lex),https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679,"OJ L 119, 4 May 2016",true,false,true,unverified,unverified,unverified,
SRC-008,Regulation (EU) 2024/1689 (Artificial Intelligence Act),European Union (EUR-Lex),https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=OJ:L_202401689,"OJ, 12 July 2024",true,false,true,unverified,unverified,unverified,
SRC-009,ODRL Information Model 2.2,World Wide Web Consortium,https://www.w3.org/TR/odrl-model/,"W3C Recommendation, 15 February 2018",true,false,true,unverified,unverified,unverified,
SRC-010,RFC 3339: Date and Time on the Internet: Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339,July 2002,true,false,true,unverified,unverified,unverified,
SRC-011,Records in Contexts Ontology (RiC-O),International Council on Archives,https://www.ica.org/standards/RiC/ontology,"Version 1.1, released 22 May 2025",true,false,true,unverified,unverified,unverified,
SRC-012,"NIST SP 800-53 Rev. 5, Security and Privacy Controls for Information Systems and Organizations",National Institute of Standards and Technology,https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final,"Revision 5, September 2020 (updates through 10 December 2020)",true,false,true,unverified,unverified,unverified,
SRC-013,Business Process Model and Notation (BPMN) Version 2.0.2,Object Management Group,https://www.omg.org/spec/BPMN/2.0.2/About-BPMN/,"Version 2.0.2, January 2014",true,false,true,unverified,unverified,unverified,
SRC-014,NIST SP 800-37 Rev. 2 Appendix F — Authorization Decisions and Authorization Decision Information (verbatim rendering),bsafes (independent mirror of the NIST publication text),https://nist-sp-800-37-r2.bsafes.com/docs/appendix-f-system-and-common-control-authorizations/authorization-decision-information/,"Mirror of Revision 2, December 2018; consulted 2026-08-29",true,false,true,unverified,unverified,unverified,
