sequence,registry_id,model_id,name,entry_kind,priority_wave,priority_score,review_state,claude_status,grok_status,synthesis_status,validation_status
1,vr.wm-xct-011,WM-XCT-011,Identifier Scheme,mixin,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
2,vr.wm-xct-012,WM-XCT-012,Provenance,mixin,0,88,first-pass-reviewed,queued,queued,blocked-on-providers,not-run
3,vr.wm-xct-009,WM-XCT-009,Time / Calendar,mixin,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
4,vr.wm-xct-021,WM-XCT-021,Lifecycle / Status,mixin,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
5,vr.wm-xct-022,WM-XCT-022,Version / Change History,mixin,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
6,vr.wm-xct-001,WM-XCT-001,Ownership / Stewardship,mixin,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
7,vr.wm-xct-002,WM-XCT-002,Access Contract / Consent,mixin,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
8,vr.wm-xct-020,WM-XCT-020,Classification Binding,pattern,0,88,first-pass-reviewed,queued,queued,blocked-on-providers,not-run
9,vr.wm-xct-008,WM-XCT-008,Quantity / Unit,mixin,0,88,first-pass-reviewed,queued,queued,blocked-on-providers,not-run
10,vr.wm-xct-010,WM-XCT-010,Location Referencing / Address,mixin,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
11,vr.wm-xct-023,WM-XCT-023,Party Role,mixin,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
12,vr.wm-xct-028,WM-XCT-028,Evidence / Rationale,mixin,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
13,vr.wm-xct-026,WM-XCT-026,Quality / Confidence,mixin,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
14,vr.wm-xct-029,WM-XCT-029,Obligation / Commitment,mixin,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
15,vr.wm-per-001,WM-PER-001,Person,standalone-mm,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
16,vr.wm-org-001,WM-ORG-001,Organization,standalone-mm,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
17,vr.wm-org-010,WM-ORG-010,Legal Entity Registration,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
18,vr.wm-org-002,WM-ORG-002,Organizational Unit,standalone-mm,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
19,vr.wm-org-004,WM-ORG-004,Position,standalone-mm,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
20,vr.wm-org-003,WM-ORG-003,Team,standalone-mm,1,77,first-pass-reviewed,queued,queued,blocked-on-providers,not-run
21,vr.wm-org-016,WM-ORG-016,Work Assignment,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
22,vr.wm-obj-002,WM-OBJ-002,Product Type / Catalog Item,standalone-mm,0,88,first-pass-reviewed,queued,queued,blocked-on-providers,not-run
23,vr.wm-obj-001,WM-OBJ-001,Physical Item Instance,standalone-mm,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
24,vr.wm-plc-010,WM-PLC-010,Gazetteer Place,standalone-mm,2,61,first-pass-reviewed,queued,queued,blocked-on-providers,not-run
25,vr.wm-blt-008,WM-BLT-008,Site / Campus,standalone-mm,1,74,boundary-review-required,queued,queued,blocked-on-providers,not-run
26,vr.wm-blt-006,WM-BLT-006,Facility,standalone-mm,1,77,first-pass-reviewed,queued,queued,blocked-on-providers,not-run
27,vr.wm-rec-001,WM-REC-001,Document / Record,standalone-mm,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
28,vr.wm-rec-007,WM-REC-007,Form / Submission,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
29,vr.wm-rec-009,WM-REC-009,Application / Request Record,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
30,vr.wm-rec-010,WM-REC-010,Decision / Approval Record,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
31,vr.wm-rec-003,WM-REC-003,Message,standalone-mm,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
32,vr.wm-dat-001,WM-DAT-001,Dataset,standalone-mm,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
33,vr.wm-dat-004,WM-DAT-004,Data Schema / Data Contract,standalone-mm,0,86,boundary-review-required,queued,queued,blocked-on-providers,not-run
34,vr.wm-act-015,WM-ACT-015,Occurrence / Event,standalone-mm,0,88,migration-boundary-review,queued,queued,blocked-on-providers,not-run
