source_model_id,relation_type,target_model_id,instance_semantics,rationale,review_state
WM-ORG-001,CONTAINS,WM-ORG-002,Organization instance contains organizational-unit instances,Structural matryoshka,candidate
WM-ORG-001,CONTAINS,WM-ORG-003,Organization instance contains team instances,Operational matryoshka,candidate
WM-ORG-002,CONTAINS,WM-ORG-004,Unit instance contains or governs positions,Structural matryoshka,candidate
WM-ORG-003,COMPOSE,WM-ORG-004,Team is composed through positions and assignments,Positions remain reusable,candidate
WM-ORG-004,COMPOSE,WM-ORG-016,Position is occupied through a scoped assignment,Separates position from person,candidate
WM-ORG-005,COMPOSE,WM-ORG-016,Employment relationship is realized through assignments,Supports multiple roles,candidate
WM-ORG-018,CONTAINS,WM-ACT-025,Governance body conducts meeting sessions,Decision process,candidate
WM-ACT-025,CONTAINS,WM-REC-012,Meeting produces minutes or transcript,Durable record,candidate
WM-ACT-025,CONTAINS,WM-REC-010,Meeting may produce decision records,Outcome record,candidate
WM-ACT-029,CONTAINS,WM-ACT-005,Program or portfolio contains projects,Work matryoshka,candidate
WM-ACT-005,CONTAINS,WM-ACT-006,Project contains tasks,Work matryoshka,candidate
WM-ACT-005,CONTAINS,WM-ACT-031,Project contains milestones and deliverables,Delivery structure,candidate
WM-ACT-006,REFERENCE,WM-ACT-008,Task references plan or schedule,Plan is independently versioned,candidate
WM-ACT-007,CONTAINS,WM-ACT-006,Work order authorizes and groups tasks,Operational execution,candidate
WM-ACT-003,COMPOSE,WM-ACT-002,Process is composed of acts or activities,Behavioral composition,candidate
WM-ACT-002,EXTEND,WM-ACT-015,Act specializes an occurrence by adding an intentional or causal actor,Event boundary,candidate
WM-ACT-018,EXTEND,WM-ACT-015,Encounter specializes an occurrence by adding reciprocal participation,Event boundary,candidate
WM-ACT-003,REFERENCE,WM-KNW-012,Process is governed by policies or rules,Normative context,candidate
WM-ACT-032,REFERENCE,WM-REC-006,Change request traces to requirements,Change rationale,candidate
WM-ACT-032,REFERENCE,WM-KNW-010,Change request is resolved by a decision,Decision rationale,candidate
WM-PLC-004,CONTAINS,WM-PLC-005,Administrative area contains settlements,Spatial matryoshka,candidate
WM-PLC-005,CONTAINS,WM-BLT-008,Settlement contains sites or campuses,Spatial matryoshka,candidate
WM-BLT-008,CONTAINS,WM-BLT-006,Site contains facilities,Spatial/asset matryoshka,candidate
WM-BLT-006,CONTAINS,WM-BLT-001,Facility contains buildings or structures,Operational facility aggregation,candidate
WM-BLT-001,CONTAINS,WM-BLT-002,Building contains premises or spatial units,Spatial matryoshka,candidate
WM-BLT-002,CONTAINS,WM-OBJ-001,Premises contains physical item instances,Location containment,candidate
WM-OBJ-002,CLASSIFIES,WM-OBJ-001,Product type classifies item instances,Type-instance boundary,candidate
WM-OBJ-017,CLASSIFIES,WM-OBJ-001,Product configuration classifies configured instances,Variant-instance boundary,candidate
WM-OBJ-019,COMPOSE,WM-OBJ-002,Engineering BOM composes component types,Type-level assembly,candidate
WM-OBJ-012,COMPOSE,WM-OBJ-001,As-built assembly composes item instances,Instance-level assembly,candidate
WM-OBJ-018,REFERENCE,WM-REC-006,Engineering design realizes requirements,Traceability,candidate
WM-OBJ-022,VIEW,WM-OBJ-001,Asset lifecycle is a projection over an item,No second master identity,candidate
WM-OBJ-022,COMPOSE,WM-ACT-013,Asset lifecycle includes maintenance history,Operational context,candidate
WM-OBJ-020,REFERENCE,WM-OBJ-001,Stock position references item type or instances,Inventory mastership,candidate
WM-FLW-011,CONTAINS,WM-OBJ-021,Shipment contains handling units,Logistics matryoshka,candidate
WM-OBJ-021,CONTAINS,WM-OBJ-001,Handling unit contains item instances,Nested packaging,candidate
WM-FLW-011,REFERENCE,WM-FLW-009,Shipment references transport journeys,Movement execution,candidate
WM-FLW-013,COMPOSE,WM-ACT-015,Supply-chain trace composes custody events,Traceability pattern,candidate
WM-ECO-019,REFERENCE,WM-ECO-021,Purchase order may originate from accepted quote,Commercial lifecycle,candidate
WM-ECO-019,CONTAINS,WM-ECO-024,Order contains fulfilment obligations,Commercial lifecycle,candidate
WM-ECO-024,REFERENCE,WM-FLW-011,Fulfilment references shipments,Physical delivery,candidate
WM-ECO-024,REFERENCE,WM-ECO-008,Fulfilment references invoices,Billing evidence,candidate
WM-ECO-008,REFERENCE,WM-ECO-009,Invoice is settled by payments,Financial lifecycle,candidate
WM-ECO-009,COMPOSE,WM-ECO-016,Payment produces financial transactions or postings,Accounting trace,candidate
WM-ECO-009,REFERENCE,WM-ECO-004,Payment references monetary unit or instrument,Money versus transfer boundary,candidate
WM-ECO-015,CONTAINS,WM-ECO-016,Financial account contains postings,Ledger matryoshka,candidate
WM-ECO-018,COMPOSE,WM-ECO-017,Financial statement reports positions or balances,Reporting projection,candidate
WM-ECO-003,CONTAINS,WM-ECO-036,Insurance policy context contains claims,Insurance lifecycle,candidate
WM-ECO-036,COMPOSE,WM-ACT-045,Claim is processed through claim handling,Case/process separation,candidate
WM-POL-009,CONTAINS,WM-POL-019,Court case contains filings or pleadings,Legal case matryoshka,candidate
WM-POL-009,CONTAINS,WM-POL-020,Court case contains or references evidence items,Legal evidence context,candidate
WM-POL-009,CONTAINS,WM-POL-021,Court case produces judgments or legal decisions,Legal outcome,candidate
WM-POL-021,CONTAINS,WM-POL-022,Judgment may impose sanctions or sentence,Legal outcome,candidate
WM-POL-021,REFERENCE,WM-POL-023,Judgment may authorize enforcement actions,Execution lifecycle,candidate
WM-POL-017,COMPOSE,WM-REC-009,Administrative case begins with application or request,Public service lifecycle,candidate
WM-POL-017,COMPOSE,WM-REC-010,Administrative case ends or changes through decisions,Public service lifecycle,candidate
WM-DAT-008,REFERENCE,WM-DAT-001,Data product catalog entry references datasets,Offering versus bytes,candidate
WM-DAT-001,REFERENCE,WM-DAT-004,Dataset conforms to schemas or data contracts,Semantic contract,candidate
WM-DAT-001,COMPOSE,WM-DAT-006,Dataset includes lineage context,Provenance pattern,candidate
WM-DAT-001,COMPOSE,WM-DAT-007,Dataset includes quality assessments,Quality evidence,candidate
WM-DAT-005,CONTAINS,WM-ACT-053,Data pipeline contains processing jobs,Runnable graph,candidate
WM-DAT-005,COMPOSE,WM-DAT-006,Pipeline emits lineage,Processing provenance,candidate
WM-SFT-001,COMPOSE,WM-SFT-007,Software product is composed of components or packages,Software composition,candidate
