source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,ISO 3166 Country Codes,International Organization for Standardization,https://www.iso.org/iso-3166-country-codes.html,"ISO 3166 code family, official service accessed 6 September 2026",false,false,true,true,unverified,unverified,unverified,
SRC-002,"Standard country or area codes for statistical use, M49",United Nations Statistics Division,https://unstats.un.org/unsd/methodology/m49/,"UN M49 methodology and current list, accessed 6 September 2026",false,false,true,true,unverified,unverified,unverified,
SRC-003,INSPIRE Data Specification on Administrative Units,European Commission INSPIRE,https://inspire.ec.europa.eu/id/document/tg/au,"Technical Guidelines, current document service accessed 6 September 2026",false,false,true,true,unverified,unverified,unverified,
SRC-004,OGC GeoSPARQL 1.1,Open Geospatial Consortium,https://docs.ogc.org/is/22-047r1/22-047r1.html,"OGC 22-047r1, Version 1.1",false,false,true,true,unverified,unverified,unverified,
SRC-005,Geography Markup Language,Open Geospatial Consortium,https://www.ogc.org/standards/gml,"GML standard family, accessed 6 September 2026",false,false,true,true,unverified,unverified,unverified,
SRC-006,"ISO 19112 Geographic information, Spatial referencing by geographic identifiers",International Organization for Standardization,https://www.iso.org/standard/74046.html,ISO 19112:2019,false,false,true,true,unverified,unverified,unverified,
SRC-007,Regulation on the establishment of a common classification of territorial units for statistics,European Union,https://eur-lex.europa.eu/eli/reg/2003/1059/oj,"Regulation (EC) No 1059/2003, consolidated framework",false,false,true,true,unverified,unverified,unverified,
SRC-008,Second Administrative Level Boundaries,United Nations,https://salb.un.org/,"UN SALB service, accessed 6 September 2026",false,false,true,true,unverified,unverified,unverified,
SRC-009,The GeoJSON Format,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc7946,"RFC 7946, August 2016",false,false,true,true,unverified,unverified,unverified,
SRC-010,Date and Time on the Internet: Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339,"RFC 3339, July 2002",false,false,true,true,unverified,unverified,unverified,
