source_id,live_status,version_status,claim_support_status,notes
SRC-001,verified-live,version-explicit,supported,Official Transmodel v6.2 data dictionary.
SRC-002,verified-live,access-date-pinned,supported,Official passenger-information tutorial.
SRC-003,verified-live,version-family-explicit,supported,Official Transmodel overview.
SRC-004,verified-live,living-spec-access-date-pinned,supported,Official GTFS Schedule reference.
SRC-005,verified-live,version-explicit,supported,Official GTFS Realtime 2.0 reference.
SRC-006,verified-live,access-date-pinned,supported,Official GTFS trip-update guidance.
SRC-007,verified-live,version-catalogue-explicit,supported,Official OGC Moving Features catalogue.
SRC-008,verified-live,version-explicit,supported,Approved OGC API Moving Features 1.0.
SRC-009,verified-live,version-explicit,supported,Approved OGC Moving Features Access 1.0.
SRC-010,verified-web-index-direct-403,version-and-confirmation-explicit,supported,Official indexed ISO 19141 page states the 2008 edition was confirmed in 2022; local automated access was publisher-blocked.
SRC-011,verified-web-index-direct-403,edition-explicit,supported,Official indexed UNECE publication page identifies the sixth edition published in February 2026; local automated access was publisher-blocked.
SRC-012,verified-live,release-explicit,supported,Accredited UK travel-statistics definitions.
SRC-013,verified-live,edition-explicit,supported,Official United Nations statistical recommendations.
SRC-014,verified-live,legal-version-explicit,supported,Official EUR-Lex amending regulation.
SRC-015,verified-live,access-date-pinned,supported,Official Schema.org vocabulary page.
SRC-016,verified-live,version-explicit,supported,Official OGC GeoSPARQL catalogue.
SRC-017,verified-live,document-status-explicit,supported,W3C OWL-Time draft status remains visible.
SRC-018,verified-live,version-explicit,supported,RFC 3339 publication and timestamp requirements.
SRC-019,verified-live,version-explicit,supported,W3C Recommendation for provenance.
SRC-020,verified-live,version-explicit,supported,W3C Note for data-quality metadata.
SRC-021,verified-live,version-explicit,supported,W3C Recommendation for usage policy.
