source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,CDEvents Continuous Deployment Events,Continuous Delivery Foundation (CDF),https://github.com/cdevents/spec/blob/main/continuous-deployment.md,spec main branch; continuous deployment subjects at 0.3.0; CDEvents release line v0.5.0,true,false,true,unverified,unverified,unverified,
SRC-002,OpenTelemetry Semantic Conventions - Deployment attribute registry,OpenTelemetry (CNCF),https://opentelemetry.io/docs/specs/semconv/registry/attributes/deployment/,"accessed 2026-09-03; deployment.environment.name Stable, deployment.id/name/status Development",true,false,true,unverified,unverified,unverified,
SRC-003,Kubernetes Documentation - Deployments,The Kubernetes Authors (CNCF),https://kubernetes.io/docs/concepts/workloads/controllers/deployment/,accessed 2026-09-03,true,false,true,unverified,unverified,unverified,
SRC-004,OpenGitOps Principles v1.0.0,OpenGitOps (CNCF App Delivery TAG),https://opengitops.dev/,v1.0.0,true,false,true,unverified,unverified,unverified,
SRC-005,SLSA Verification Summary Attestation (VSA),OpenSSF / SLSA project (Linux Foundation),https://slsa.dev/spec/v1.0/verification_summary,SLSA v1.0 (page notes v1.2 is the latest release line),true,false,true,unverified,unverified,unverified,
SRC-006,"NIST SP 800-218, Secure Software Development Framework (SSDF) Version 1.1",National Institute of Standards and Technology (NIST),https://csrc.nist.gov/pubs/sp/800/218/final,"Version 1.1, February 2022",true,false,true,unverified,unverified,unverified,
SRC-007,"NIST SP 800-53 Rev. 5, Security and Privacy Controls for Information Systems and Organizations",National Institute of Standards and Technology (NIST),https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final,"Revision 5, September 2020 with updates through 10 December 2020; control release 5.2.0, 27 August 2025",true,false,true,unverified,unverified,unverified,
SRC-008,"NISTIR 8060, Guidelines for the Creation of Interoperable Software Identification (SWID) Tags",National Institute of Standards and Technology (NIST),https://csrc.nist.gov/pubs/ir/8060/final,April 2016,true,false,true,unverified,unverified,unverified,
SRC-009,"Deployment and Configuration of Component-based Distributed Applications (DEPL), Version 4.0",Object Management Group (OMG),https://www.omg.org/spec/DEPL/,"Version 4.0, April 2006",true,false,true,unverified,unverified,unverified,
SRC-010,"ISO/IEC/IEEE 12207:2026, Systems and software engineering - Software life cycle processes",International Organization for Standardization (ISO),https://www.iso.org/standard/90219.html,"2026 edition; technically revised, cancels and replaces ISO/IEC/IEEE 12207:2017",true,false,true,unverified,unverified,unverified,
SRC-011,SPDX Specification 3.0.1 - Core LifecycleScopeType vocabulary,SPDX project (Linux Foundation),https://spdx.github.io/spdx-spec/v3.0.1/model/Core/Vocabularies/LifecycleScopeType/,3.0.1,true,false,true,unverified,unverified,unverified,
SRC-012,DORA software delivery metrics: the four keys,DORA (Google Cloud),https://dora.dev/guides/dora-metrics-four-keys/,last updated 5 January 2026; CC BY 4.0,true,false,true,unverified,unverified,unverified,
SRC-013,Argo Rollouts - Canary Deployment Strategy,Argo Project (CNCF),https://argo-rollouts.readthedocs.io/en/stable/features/canary/,"stable documentation, accessed 2026-09-03",true,false,true,unverified,unverified,unverified,
