source_id,organization,url,verification,checked_at,notes
SRC-001,United States Securities and Exchange Commission,https://www.sec.gov/submit-filings/edgar-filer-manual,direct-200,2026-09-06T18:10:00Z,"Official EDGAR Filer Manual index retrieved with current 2026 volume versions."
SRC-002,United States Securities and Exchange Commission,https://www.sec.gov/submit-filings/filer-support-resources/how-do-i-guides/attach-submit-filing-through-edgar-filing-website,direct-200,2026-09-06T18:10:00Z,"Official submission and validation guide retrieved."
SRC-003,United States Securities and Exchange Commission,https://www.sec.gov/submit-filings/filer-support-resources/how-do-i-guides/understand-messages-reported-edgar,direct-200,2026-09-06T18:10:00Z,"Official acceptance and suspense message guide retrieved."
SRC-004,United States Securities and Exchange Commission,https://www.sec.gov/submit-filings/technical-specifications,direct-200,2026-09-06T18:10:00Z,"Official current XBRL and XML technical-specification index retrieved."
SRC-005,European Union,https://eur-lex.europa.eu/legal-content/en/ALL/?uri=CELEX%3A02019R0815-20260407,direct-redirect,2026-09-06T18:10:00Z,"Official EUR-Lex consolidated ESEF regulation resolved to the canonical CELEX page."
SRC-006,European Banking Authority,https://www.eba.europa.eu/risk-and-data-analysis/reporting/reporting-frameworks,official-web-index,2026-09-06T18:10:00Z,"Direct automated retrieval returned an internal error; official EBA indexed content verified DPM, taxonomy and validation-release semantics."
SRC-007,European Banking Authority,https://www.eba.europa.eu/risk-and-data-analysis/reporting/reporting-frameworks/reporting-framework-42,official-web-index,2026-09-06T18:10:00Z,"Direct automated retrieval returned an internal error; official EBA indexed content verified framework 4.2.1 artifacts and filing rules."
SRC-008,European Insurance and Occupational Pensions Authority,https://www.eiopa.europa.eu/tools-and-data/supervisory-reporting-dpm-and-xbrl_en,direct-200,2026-09-06T18:10:00Z,"Official EIOPA DPM, taxonomy, filing-rule and deadline page retrieved."
SRC-009,Financial Conduct Authority,https://www.fca.org.uk/firms/regdata,direct-200,2026-09-06T18:10:00Z,"Official RegData task, due-date, status and submission page retrieved."
SRC-010,Financial Conduct Authority,https://handbook.fca.org.uk/handbook/sup16/sup16s38,direct-200,2026-09-06T18:10:00Z,"Official FCA Handbook reporting-field annex retrieved."
SRC-011,Eurostat,https://ec.europa.eu/eurostat/web/sdmx-infospace/sdmx-explained,direct-200,2026-09-06T18:10:00Z,"Official SDMX information-model and exchange guidance retrieved."
SRC-012,Eurostat,https://ec.europa.eu/eurostat/web/metadata/reference-metadata-reporting-standards,direct-200,2026-09-06T18:10:00Z,"Official metadata reporting, validation and dissemination guidance retrieved."
SRC-013,XBRL International,https://specifications.xbrl.org/work-product-index-group-base-spec-base-spec.html,direct-200,2026-09-06T18:10:00Z,"Official XBRL 2.1 specification index retrieved."
SRC-014,XBRL International,https://specifications.xbrl.org/work-product-index-taxonomy-packages-report-packages-1.0.html,direct-200,2026-09-06T18:10:00Z,"Official Report Packages 1.0 recommendation index retrieved."
SRC-015,XBRL International,https://specifications.xbrl.org/work-product-index-taxonomy-packages-taxonomy-packages-1.0.html,direct-200,2026-09-06T18:10:00Z,"Official Taxonomy Packages 1.0 recommendation index retrieved."
SRC-016,XBRL International,https://specifications.xbrl.org/work-product-index-open-information-model-open-information-model.html,direct-200,2026-09-06T18:10:00Z,"Official Open Information Model recommendation index retrieved."
SRC-017,Global Legal Entity Identifier Foundation,https://www.gleif.org/en/lei-data/access-and-use-lei-data/supporting-documents,direct-200,2026-09-06T18:10:00Z,"Official current LEI-CDF supporting documents and schemas retrieved."
SRC-018,European Union,https://eur-lex.europa.eu/eli/reg/2014/910/oj/eng,direct-200,2026-09-06T18:10:00Z,"Official EUR-Lex eIDAS regulation retrieved."
SRC-019,European Union,https://eur-lex.europa.eu/eli/reg/2016/679/oj,direct-200,2026-09-06T18:10:00Z,"Official EUR-Lex GDPR text retrieved."
SRC-020,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339.html,direct-200,2026-09-06T18:10:00Z,"Official RFC Editor text retrieved."
SRC-021,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,direct-200,2026-09-06T18:10:00Z,"Official W3C PROV-O recommendation retrieved."
SRC-022,World Wide Web Consortium,https://www.w3.org/TR/vocab-dqv/,direct-200,2026-09-06T18:10:00Z,"Official W3C Data Quality Vocabulary note retrieved."
SRC-023,World Wide Web Consortium,https://www.w3.org/TR/odrl-model/,direct-200,2026-09-06T18:10:00Z,"Official W3C ODRL recommendation retrieved."
SRC-024,OpenAPI Initiative,https://spec.openapis.org/oas/v3.1.1.html,direct-200,2026-09-06T18:10:00Z,"Official OpenAPI 3.1.1 specification retrieved."
