sequence,model_id,name,dependency_group,why_now
1,WM-XCT-011,Identifier Scheme,foundation,Stable identity is required by every reference
2,WM-XCT-012,Provenance,foundation,Agents must distinguish source assertion and derivation
3,WM-XCT-009,Time / Calendar,foundation,Effective time and event time are universal
4,WM-XCT-021,Lifecycle / Status,foundation,Common lifecycle semantics prevent incompatible state fields
5,WM-XCT-022,Version / Change History,foundation,Specifications and governed objects must evolve safely
6,WM-XCT-001,Ownership / Stewardship,foundation,Every object needs an owner and mastership declaration
7,WM-XCT-002,Access Contract / Consent,foundation,Permission is required before context can be read
8,WM-XCT-020,Classification Binding,foundation,Connects models to external classifiers without hard-coding
9,WM-XCT-008,Quantity / Unit,foundation,Universal measurement primitive
10,WM-XCT-010,Location Referencing / Address,foundation,Universal place reference
11,WM-XCT-023,Party Role,foundation,Separates actor identity from contextual role
12,WM-XCT-028,Evidence / Rationale,foundation,Enables explainable claims and decisions
13,WM-XCT-026,Quality / Confidence,foundation,Agents need uncertainty and quality semantics
14,WM-XCT-029,Obligation / Commitment,foundation,Connects contracts policies tasks and due dates
15,WM-PER-001,Person,actors,Most personal organizational legal and health contexts depend on person
16,WM-ORG-001,Organization,actors,Primary owner and system-of-record boundary
17,WM-ORG-010,Legal Entity Registration,actors,Federated legal identity and jurisdiction
18,WM-ORG-002,Organizational Unit,actors,Structural matryoshka
19,WM-ORG-004,Position,actors,Separates office from occupant
20,WM-ORG-003,Team,actors,Daily agent collaboration context
21,WM-ORG-016,Work Assignment,actors,Connects person or agent to scope and responsibility
22,WM-OBJ-002,Product Type / Catalog Item,physical-core,Universal type for goods and physical products
23,WM-OBJ-001,Physical Item Instance,physical-core,Serial object identity and lifecycle
24,WM-PLC-010,Gazetteer Place,physical-core,Stable generic place identity
25,WM-BLT-008,Site / Campus,physical-core,Container for facilities assets and activities
26,WM-BLT-006,Facility,physical-core,Operational physical master context
27,WM-REC-001,Document / Record,information-core,Universal durable information object
28,WM-REC-007,Form / Submission,information-core,Common structured human/agent input
29,WM-REC-009,Application / Request Record,information-core,Starts service and case lifecycles
30,WM-REC-010,Decision / Approval Record,information-core,Durable authoritative outcome
31,WM-REC-003,Message,information-core,Agent and human communication unit
32,WM-DAT-001,Dataset,information-core,Reusable governed data collection
33,WM-DAT-004,Data Schema / Data Contract,information-core,Format-neutral semantics and constraints
34,WM-ACT-015,Occurrence / Event,work-core,Universal change and history primitive
35,WM-ACT-005,Project,work-core,Common bounded undertaking
36,WM-ACT-006,Task,work-core,Atomic assignable work for agents and people
37,WM-ACT-008,Plan / Schedule,work-core,Future intent dependencies and timing
38,WM-ECO-006,Commercial Contract,commerce-core,Obligations and accepted terms
39,WM-ECO-019,Purchase Order,commerce-core,High-volume buyer commitment
40,WM-ECO-008,Invoice / Commercial Document,commerce-core,High-volume billing and tax evidence
41,WM-ECO-009,Payment,commerce-core,Settlement of obligations
42,WM-ECO-016,Financial Transaction / Journal Entry,commerce-core,Auditable accounting consequence
43,WM-SFT-001,Software Product,agent-runtime,Most present AI work operates on software
44,WM-SFT-007,Software Component / Package,agent-runtime,Dependency and supply-chain identity
45,WM-AI-001,AI System,agent-runtime,Governed AI-enabled system boundary
46,WM-SFT-004,ML Model Artifact,agent-runtime,Versioned model/weights identity
47,WM-AI-002,AI Agent,agent-runtime,Actor with tools memory and authority
48,WM-AI-005,Prompt / Agent Configuration,agent-runtime,Versioned operational instruction
49,WM-AI-004,AI Inference / Agent Run,agent-runtime,Auditable execution inputs outputs tools and cost
50,WM-AI-003,AI Model Evaluation,agent-runtime,Quality safety and release evidence
