source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,"International Standard Classification of Education, ISCED",UNESCO Institute for Statistics,https://www.uis.unesco.org/en/methods-and-tools/isced,"ISCED 2011 and current mappings, accessed 6 September 2026",false,false,true,true,unverified,unverified,unverified,
SRC-002,Council Recommendation on the European Qualifications Framework for lifelong learning,European Union,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32017H0615(01),"2017/C 189/03, 22 May 2017",false,false,true,true,unverified,unverified,unverified,
SRC-003,European Qualifications Framework,"European Commission, Europass",https://europass.europa.eu/en/european-qualifications-framework-eqf,"Current public framework service, accessed 6 September 2026",false,false,true,true,unverified,unverified,unverified,
SRC-004,ESCO Qualifications,European Commission,https://esco.ec.europa.eu/en/classification/qualifications,"Current public service, accessed 6 September 2026",false,false,true,true,unverified,unverified,unverified,
SRC-005,Verifiable Credentials Data Model v2.0,World Wide Web Consortium,https://www.w3.org/TR/vc-data-model-2.0/,"W3C Recommendation, 15 May 2025",false,false,true,true,unverified,unverified,unverified,
SRC-006,Comprehensive Learner Record Standard,1EdTech Consortium,https://www.1edtech.org/standards/clr,"CLR 2.0 public standard, accessed 6 September 2026",false,false,true,true,unverified,unverified,unverified,
SRC-007,Open Badges,1EdTech Consortium,https://www.1edtech.org/standards/open-badges,"Open Badges 3.0 public standard, accessed 6 September 2026",false,false,true,true,unverified,unverified,unverified,
SRC-008,Credential Transparency Description Language Handbook,Credential Engine,https://credreg.net/ctdl/handbook,"Current CTDL schema handbook, accessed 6 September 2026",false,false,true,true,unverified,unverified,unverified,
SRC-009,PROV-O: The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,"W3C Recommendation, 30 April 2013",false,false,true,true,unverified,unverified,unverified,
SRC-010,Date and Time on the Internet: Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339,"RFC 3339, July 2002",false,false,true,true,unverified,unverified,unverified,
