source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,Taxon Concept Standard,Biodiversity Information Standards (TDWG),https://tcs.tdwg.org/,Current vocabulary standard accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-002,Taxon Concept Standard examples,Biodiversity Information Standards (TDWG),https://tcs.tdwg.org/examples/,Current examples accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-003,Darwin Core Quick Reference Guide,Biodiversity Information Standards (TDWG),https://dwc.tdwg.org/terms/,Current recommended terms accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-004,International Code of Zoological Nomenclature,International Commission on Zoological Nomenclature,https://code.iczn.org/introduction/,Online Code accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-005,"International Code of Nomenclature for algae, fungi, and plants",International Association for Plant Taxonomy,https://www.iapt-taxon.org/nomen/main.php,Madrid Code notice and prior electronic Code accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-006,ChecklistBank,Catalogue of Life,https://www.catalogueoflife.org/about/checklistbank,Service documentation accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-007,Species API,Global Biodiversity Information Facility,https://techdocs.gbif.org/en/openapi/v1/species,Current API reference accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-008,NCBI Taxonomy,National Center for Biotechnology Information,https://www.ncbi.nlm.nih.gov/taxonomy,Current database page accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-009,PROV-O: The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,"W3C Recommendation, 30 April 2013",false,false,true,true,unverified,unverified,unverified,
SRC-010,RFC 3339: Date and Time on the Internet: Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339,"RFC 3339, July 2002",false,false,true,true,unverified,unverified,unverified,
