source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,RFC 6350: vCard Format Specification,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc6350.html,"RFC 6350, Proposed Standard, August 2011",true,false,true,unverified,unverified,unverified,
SRC-002,RFC 9553: JSContact: A JSON Representation of Contact Data,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc9553.html,"RFC 9553, Standards Track, May 2024",true,false,true,unverified,unverified,unverified,
SRC-003,RFC 9555: JSContact: Converting from and to vCard,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc9555.html,"RFC 9555, Standards Track, May 2024",true,false,true,unverified,unverified,unverified,
SRC-004,HL7 FHIR R5 Data Types: ContactPoint,HL7 International,https://hl7.org/fhir/R5/datatypes.html#ContactPoint,"FHIR v5.0.0 (R5), 2023-03-26",true,false,true,unverified,unverified,unverified,
SRC-005,ContactPoint - Schema.org Type,Schema.org,https://schema.org/ContactPoint,"Schema.org version 30.0, released 2026-03-19",true,false,true,unverified,unverified,unverified,
SRC-006,vCard Elements registry,Internet Assigned Numbers Authority (IANA),https://www.iana.org/assignments/vcard-elements/vcard-elements.xhtml,Registry last updated 2026-01-13,true,false,true,unverified,unverified,unverified,
SRC-007,ITU-T Recommendation E.164: The international public telecommunication numbering plan,International Telecommunication Union (ITU-T),https://www.itu.int/rec/T-REC-E.164/en,"E.164 (02/26), in force",true,false,true,unverified,unverified,unverified,
SRC-008,"ITU-T Recommendation E.123: Notation for national and international telephone numbers, e-mail addresses and web addresses",International Telecommunication Union (ITU-T),https://www.itu.int/rec/T-REC-E.123/en,"E.123 (02/01), with errata and amendment through 2022-06",true,false,true,unverified,unverified,unverified,
SRC-009,RFC 3966: The tel URI for Telephone Numbers,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc3966.html,"RFC 3966, Proposed Standard, December 2004",true,false,true,unverified,unverified,unverified,
SRC-010,RFC 6532: Internationalized Email Headers,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc6532.html,"RFC 6532, Standards Track, February 2012",true,false,true,unverified,unverified,unverified,
SRC-011,RFC 5646 (BCP 47): Tags for Identifying Languages,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc5646.html,"RFC 5646 / BCP 47, September 2009",true,false,true,unverified,unverified,unverified,
SRC-012,RFC 3463: Enhanced Mail System Status Codes,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc3463.html,"RFC 3463, Standards Track, January 2003",true,false,true,unverified,unverified,unverified,
SRC-013,NIST SP 800-63B-4: Digital Identity Guidelines — Authentication and Authenticator Management,National Institute of Standards and Technology (NIST),https://pages.nist.gov/800-63-4/sp800-63b.html,"Revision 4, published 2025-08-26",true,false,true,unverified,unverified,unverified,
SRC-014,Regulation (EU) 2016/679 (General Data Protection Regulation),European Union (EUR-Lex),https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,"Regulation (EU) 2016/679 of 27 April 2016, OJ L 119, 4.5.2016",true,false,true,unverified,unverified,unverified,
SRC-015,47 CFR 64.1200 — Delivery restrictions (telephone solicitation and do-not-call rules),United States Government Publishing Office / Federal Communications Commission,https://www.govinfo.gov/content/pkg/CFR-2023-title47-vol3/xml/CFR-2023-title47-vol3-sec64-1200.xml,"Code of Federal Regulations, Title 47, 2023 annual edition",true,false,true,unverified,unverified,unverified,
SRC-016,vCard Ontology — for describing People and Organizations,World Wide Web Consortium (W3C),https://www.w3.org/TR/vcard-rdf/,"W3C Interest Group Note, 22 May 2014",true,false,true,unverified,unverified,unverified,
SRC-017,RFC 3339: Date and Time on the Internet: Timestamps,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc3339.html,"RFC 3339, Standards Track, July 2002",true,false,true,unverified,unverified,unverified,
SRC-018,FHIR R5 ValueSet: ContactPointSystem,HL7 International,https://hl7.org/fhir/R5/valueset-contact-point-system.html,"FHIR v5.0.0, 2023-03-26, required binding",true,false,true,unverified,unverified,unverified,
SRC-019,Organization (Organization structured data) — Google Search Central,Google,https://developers.google.com/search/docs/appearance/structured-data/organization,Documentation last updated 2026-04-15,true,false,true,unverified,unverified,unverified,
