registry_id,record_plane,model_id,name,alternate_names,entry_kind,origin,status,review_state,nav_path,domain_tags,legacy_alias,existing_spec_ref,parent_ids,contains_ids,aligned_model_ids,purpose,owner_or_maintainer,source_url,namespace_uri,source_version_or_year,source_group,source_category,source_format,composition_role,default_link_type,priority_wave,priority_score,priority_method,priority_confidence,priority_rationale,factor_demand,factor_data,factor_reuse,factor_interop,factor_feasibility,factor_robotics,factor_overlap,possible_duplicate_of,shared_source_with,relations_ref,validation_flags,provenance
vr.wm-act-015,world-model,WM-ACT-015,Occurrence / Event,,standalone-mm,grok-union-current,described-previous-version,migration-boundary-review,NAV.ACT.EVT,ACT.EVT,X1,models/events-phenomena/X1-occurrence-event.md,,,,"Generic events: what happened, when, where, who",primary actor or observing registrar,,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,,current-112 + Grok review + Claude adversarial audit
vr.wm-act-008,world-model,WM-ACT-008,Plan / Schedule,,standalone-mm,grok-union-current,described-previous-version,migration-boundary-review,NAV.ACT.PLN,ACT.PLN,K7,models/activity-work/K7-plan-and-schedule.md,,,,Intentions bound to time,the planning agent,,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,,current-112 + Grok review + Claude adversarial audit
vr.wm-act-005,world-model,WM-ACT-005,Project,,standalone-mm,grok-union-current,described-previous-version,migration-boundary-review,NAV.ACT.PRJ,ACT.PRJ,K5,models/activity-work/K5-project.md,,WM-ACT-006;WM-ACT-031,,Bounded undertakings with goals and resources,sponsoring organization,,,2026-08-22,,,,CONTAINS,TYPED-EDGES,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,planning/VERCY-MODEL-RELATIONS.csv,,current-112 + Grok review + Claude adversarial audit
vr.wm-act-006,world-model,WM-ACT-006,Task,,standalone-mm,grok-union-current,candidate,first-pass-reviewed,NAV.ACT.TSK,ACT.TSK,,,,,,Candidate governed context model for Task; boundary questions remain required.,owner designated by the adopting Dimension,,,2026-08-22,,,,REFERENCE,TYPED-EDGES,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,planning/VERCY-MODEL-RELATIONS.csv,,current-112 + Grok review + Claude adversarial audit
vr.wm-dat-001,world-model,WM-DAT-001,Dataset,,standalone-mm,grok-union-current,described-previous-version,migration-boundary-review,NAV.INF.DAT.SET,INF.DAT.SET,N3,models/knowledge-information/N3-dataset-and-data-register.md,,,,Datasets as catalogued assets,data holder,,,2026-08-22,,,,REFERENCE;COMPOSE,TYPED-EDGES,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,planning/VERCY-MODEL-RELATIONS.csv,,current-112 + Grok review + Claude adversarial audit
vr.wm-rec-001,world-model,WM-REC-001,Document / Record,,standalone-mm,grok-union-current,described-previous-version,migration-boundary-review,NAV.INF.REC.DOC,INF.REC.DOC,N1,models/knowledge-information/N1-document-and-record.md,,,,Documents as governed records,author/issuing organization,,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,,current-112 + Grok review + Claude adversarial audit
vr.wm-rec-003,world-model,WM-REC-003,Message,,standalone-mm,grok-union-current,described-previous-version,migration-boundary-review,NAV.INF.REC.MSG,INF.REC.MSG,N7,models/knowledge-information/N7-message-and-communication.md,,,,Communications between agents,sender (owner of the message record),,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,,current-112 + Grok review + Claude adversarial audit
vr.wm-sft-001,world-model,WM-SFT-001,Software Product,,standalone-mm,grok-union-current,described-previous-version,migration-boundary-review,NAV.INF.SFT.PRD,INF.SFT.PRD,N4,models/knowledge-information/N4-software-product-and-system.md,,,,Software described in full context,producing organization,,,2026-08-22,,,,COMPOSE,TYPED-EDGES,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,planning/VERCY-MODEL-RELATIONS.csv,"хост, не карточка-заглушка",current-112 + Grok review + Claude adversarial audit
vr.wm-obj-001,world-model,WM-OBJ-001,Physical Item Instance,,standalone-mm,grok-union-current,described-previous-version,migration-boundary-review,NAV.PHY.OBJ.INST,PHY.OBJ.INST,M2,models/matter-artifacts/M2-physical-item-artifact.md,,,,Any individual physical thing,item owner per S1,,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,серийный экземпляр,current-112 + Grok review + Claude adversarial audit
vr.wm-obj-002,world-model,WM-OBJ-002,Product Type / Catalog Item,,standalone-mm,grok-union-current,candidate,first-pass-reviewed,NAV.PHY.OBJ.TYPE,PHY.OBJ.TYPE,,,,,,Candidate governed context model for Product Type / Catalog Item; boundary questions remain required.,"manufacturer, asset owner or inventory steward",,,2026-08-22,,,,CLASSIFIES,TYPED-EDGES,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,planning/VERCY-MODEL-RELATIONS.csv,"GTIN-класс, не экземпляр и не офер",current-112 + Grok review + Claude adversarial audit
vr.wm-eco-006,world-model,WM-ECO-006,Commercial Contract,,standalone-mm,grok-union-current,described-previous-version,migration-boundary-review,NAV.SOC.ECO.CTR,SOC.ECO.CTR,O5,models/organizations/O5-commercial-contract-and-agreement.md,,,,Agreements between parties,the parties (bilateral); courts via A6,,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,контракт не «организация»,current-112 + Grok review + Claude adversarial audit
vr.wm-eco-004,world-model,WM-ECO-004,Money / Instrument,,standalone-mm,grok-union-current,described-previous-version,migration-boundary-review,NAV.SOC.ECO.MNY,SOC.ECO.MNY,F2,models/flows-resources/F2-money-and-monetary-instrument.md,,,,"Currency, monetary unit or transferable monetary instrument used to denominate and store value.",holder; settlement rail operator,,,2026-08-22,,,,,,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,,,current-112 + Grok review + Claude adversarial audit
vr.wm-eco-009,world-model,WM-ECO-009,Payment,,standalone-mm,grok-union-current,described-previous-version,migration-boundary-review,NAV.SOC.ECO.PAY,SOC.ECO.PAY,F2,models/flows-resources/F2-money-and-monetary-instrument.md,,,,"A transfer that discharges or changes a monetary obligation, with payer, payee, amount, method and settlement state.",holder; settlement rail operator,,,2026-08-22,,,,COMPOSE;REFERENCE,TYPED-EDGES,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,planning/VERCY-MODEL-RELATIONS.csv,,current-112 + Grok review + Claude adversarial audit
vr.wm-org-001,world-model,WM-ORG-001,Organization,,standalone-mm,grok-union-current,described-previous-version,migration-boundary-review,NAV.SOC.ORG.ORG,SOC.ORG.ORG,O1,models/organizations/O1-organization.md,,WM-ORG-002;WM-ORG-003,,"Any organization: company, NGO, community, institution",the organization (via officers),,,2026-08-22,,,,CONTAINS,TYPED-EDGES,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,planning/VERCY-MODEL-RELATIONS.csv,,current-112 + Grok review + Claude adversarial audit
vr.wm-org-004,world-model,WM-ORG-004,Position,,standalone-mm,grok-union-current,described-previous-version,migration-boundary-review,NAV.SOC.ORG.POS,SOC.ORG.POS,O2;O3,models/organizations/O2-organizational-unit.md;models/organizations/O3-employment-and-membership.md,,,,Candidate governed context model for Position; boundary questions remain required.,parent organization; both parties (bilateral record),,,2026-08-22,,,,COMPOSE,TYPED-EDGES,0,88,cohort-proxy with model-specific robotics check; use TOP-50 sequence,low,AI foundation: high reuse across agents and domains,0.92,0.85,0.92,0.85,0.90,0.00,0.05,,,planning/VERCY-MODEL-RELATIONS.csv,,current-112 + Grok review + Claude adversarial audit
