source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,IFC 4.3.2 Documentation,buildingSMART International,https://ifc43-docs.standards.buildingsmart.org/,IFC 4.3.2.0 current documentation accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-002,IfcBuilding semantic definition,buildingSMART International,https://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/lexical/IfcBuilding.htm,IFC 4.3.2.0,false,false,true,true,unverified,unverified,unverified,
SRC-003,IFC spatial structure,buildingSMART International,https://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Connectivity/Spatial_Structure/content.html,IFC 4.3.2.0,false,false,true,true,unverified,unverified,unverified,
SRC-004,IFC material resource,buildingSMART International,https://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/ifcmaterialresource/content.html,IFC 4.3.2.0,false,false,true,true,unverified,unverified,unverified,
SRC-005,OGC CityGML Part 1: Conceptual Model Standard,Open Geospatial Consortium,https://docs.ogc.org/is/20-010/20-010.html,"OGC 20-010, CityGML 3.0.0",false,false,true,true,unverified,unverified,unverified,
SRC-006,ISO 16739-1:2024 Industry Foundation Classes,International Organization for Standardization,https://www.iso.org/standard/84123.html,"ISO 16739-1:2024, Edition 2",false,false,true,true,unverified,unverified,unverified,
SRC-007,Directive (EU) 2024/1275 on the energy performance of buildings,European Union,https://eur-lex.europa.eu/eli/dir/2024/1275/oj,"Directive (EU) 2024/1275, 24 April 2024",false,false,true,true,unverified,unverified,unverified,
SRC-008,Selected methods for condition assessment of existing buildings,National Institute of Standards and Technology,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nbsir80-2171.pdf,NBSIR 80-2171,false,false,true,true,unverified,unverified,unverified,
SRC-009,PROV-O: The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,"W3C Recommendation, 30 April 2013",false,false,true,true,unverified,unverified,unverified,
SRC-010,RFC 3339: Date and Time on the Internet: Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339,"RFC 3339, July 2002",false,false,true,true,unverified,unverified,unverified,
