source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,"Employment Relationship Recommendation, 2006 (No. 198)",International Labour Organization,https://www.ilo.org/resource/other/r198-employment-relationship-recommendation-2006,"Recommendation No. 198, 2006",false,false,true,true,unverified,unverified,unverified,
SRC-002,International Classification of Status in Employment (ICSE-18) Manual,International Labour Organization,https://www.ilo.org/publications/international-classification-status-employment-icse-18-manual,"ICSE-18 Manual, 2023",false,false,true,true,unverified,unverified,unverified,
SRC-003,Resolution concerning statistics on work relationships,International Labour Organization,https://www.ilo.org/resource/conference-paper/resolution-concerning-statistics-work-relationships,"20th ICLS resolution, 17 October 2018",false,false,true,true,unverified,unverified,unverified,
SRC-004,International Standard Classification of Occupations 2008,International Labour Organization,https://isco.ilo.org/en/isco-08/,"ISCO-08, endorsed March 2008; current ILO edition",false,false,true,true,unverified,unverified,unverified,
SRC-005,The ESCO Classification,European Commission,https://esco.ec.europa.eu/en/classification,"ESCO v1.2.1, updated 10 December 2025",false,false,true,true,unverified,unverified,unverified,
SRC-006,Directive (EU) 2019/1152 on transparent and predictable working conditions,European Union,https://eur-lex.europa.eu/eli/dir/2019/1152/oj,"Directive (EU) 2019/1152, 20 June 2019",false,false,true,true,unverified,unverified,unverified,
SRC-007,Directive 2008/104/EC on temporary agency work,European Union,https://eur-lex.europa.eu/eli/dir/2008/104/oj,"Directive 2008/104/EC, 19 November 2008",false,false,true,true,unverified,unverified,unverified,
SRC-008,"Termination of Employment Convention, 1982 (No. 158)",International Labour Organization,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C158,"Convention No. 158, adopted 22 June 1982; in force 23 November 1985",false,false,true,true,unverified,unverified,unverified,
SRC-009,The Organization Ontology,World Wide Web Consortium,https://www.w3.org/TR/vocab-org/,"W3C Recommendation, 16 January 2014",false,false,true,true,unverified,unverified,unverified,
SRC-010,PROV-O: The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,"W3C Recommendation, 30 April 2013",false,false,true,true,unverified,unverified,unverified,
SRC-011,General Data Protection Regulation,European Union,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"Regulation (EU) 2016/679, 27 April 2016",false,false,true,true,unverified,unverified,unverified,
SRC-012,Date and Time on the Internet: Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339,"RFC 3339, July 2002",false,false,true,true,unverified,unverified,unverified,
