ID,Cluster,MetaModel,Purpose,KeyObjects,OwnerArchetype,ExternalStandards,Status
P1,Planet & Nature,Terrain & Landform,Physical relief and landforms of the territory,landform; elevation; slope; region_geometry,commons steward (Territory),GeoSPARQL; INSPIRE; DEM,described
P2,Planet & Nature,Land Parcel & Cadastre,Land units as registrable spatial objects,parcel; boundary; survey; land_use_class,registrar (Land) over register; rights via S1,ISO 19152 LADM,described
P3,Planet & Nature,Water Body & Hydrology,"Rivers, lakes, seas, aquifers and their regimes",water_body; watershed; flow_regime; water_quality,commons steward (Ecology),HY_Features; INSPIRE,described
P4,Planet & Nature,Atmosphere Weather & Climate,Weather observations and climate state,observation; forecast; climate_normal; station,commons steward (Ecology),WMO; CF conventions,described
P5,Planet & Nature,Subsurface & Mineral Resource,Geology and deposits of natural resources,formation; deposit; reserve_estimate; extraction_right_ref,commons steward; extraction rights via S1,GeoSciML; UNFC,described
P6,Planet & Nature,Flora & Vegetation,Plant life and vegetation cover,taxon; population; vegetation_cover; protected_status,commons steward (Ecology),Darwin Core,described
P7,Planet & Nature,Fauna & Wildlife,Animal life and populations,taxon; population; habitat; protected_status,commons steward (Ecology),Darwin Core,described
P8,Planet & Nature,Ecosystem & Biome,Ecosystems as physical systems (D4 keeps the value view),ecosystem; biome; service_capacity; condition,commons steward (Ecology),ENVO; SWEET,described
P9,Planet & Nature,Natural Phenomenon & Hazard,"Earthquakes, floods, droughts and hazard exposure",hazard; exposure_zone; occurrence; severity,Emergency sub-agent,CAP; EM-DAT,described
P10,Planet & Nature,Soil & Agricultural Land,Soil quality and agricultural capability,soil_unit; fertility; capability_class; degradation,commons steward (Ecology/Agro),FAO soil classification,described
M1,Matter & Artifacts,Material & Substance,Materials and chemical substances,material; substance; hazard_class; composition,Economy sub-agent (class); holder (instance),CAS; ChEBI,described
M2,Matter & Artifacts,Physical Item / Artifact,Any individual physical thing,item; serial_identity; condition; location_ref,item owner per S1,schema:Product; asset mgmt,described
M3,Matter & Artifacts,Tradable Good,Items in their market aspect,good; classification; unit; batch,seller/holder per S1,GS1 GPC; GTIN,described
M4,Matter & Artifacts,Food & Drink,Nutrition goods and their safety,food_item; ingredient; nutrition; safety_status,producer/holder,FoodOn; INFOODS,described
M5,Matter & Artifacts,Medicine & Health Substance,Medicinal products and controlled substances,medicine; active_substance; authorization; batch,producer; Health sub-agent oversight,ATC; RxNorm,described
M6,Matter & Artifacts,Equipment & Machinery,Industrial and household machinery,machine; capability; maintenance_state; certification,owner per S1,eCl@ss,described
M7,Matter & Artifacts,Vehicle & Transport Means,"Vehicles across modes (road, rail, water, air)",vehicle; registration; capacity; roadworthiness,owner per S1; registrar (Vehicles),ISO 3779 VIN; registries,described
M8,Matter & Artifacts,Device Sensor & Computing Hardware,Connected devices and computing equipment,device; sensor; firmware_ref; telemetry_stream_ref,owner per S1,W3C SSN/SOSA,described
M9,Matter & Artifacts,Cultural Artifact & Heritage,Artifacts of cultural and historical value,artifact; provenance; heritage_status; custody,custodian; Culture sub-agent oversight,CIDOC-CRM,described
U1,Built Environment,Building & Structure,Buildings and engineered structures,building; structure; construction_year; condition,owner per S1,IFC; CityGML,described
U2,Built Environment,Premises & Spatial Unit,"Units within structures (apartments, offices, rooms)",premise; unit_boundary; use_class; occupancy,owner per S1,LADM; BOMA,described
U3,Built Environment,Physical Infrastructure Network,"Roads, rail, pipes, grids as physical networks",network; segment; node; capacity; condition,operator organization,INSPIRE; IEC CIM,described
U4,Built Environment,Settlement & Urban Form,"Cities, districts and urban morphology",settlement; district; block; density,Urban sub-agent,CityGML,described
