source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,Tax Administration 2025,Organisation for Economic Co-operation and Development,https://www.oecd.org/en/publications/tax-administration-2025_cc015ce8-en.html,"Published 17 November 2025; DOI 10.1787/cc015ce8-en",false,false,true,true,verified,verified,verified,Comparative administration context across 58 jurisdictions.
SRC-002,Tax Administration 3.0: The Digital Transformation of Tax Administration,Organisation for Economic Co-operation and Development,https://www.oecd.org/en/publications/tax-administration-3-0_ca274cc5-en.html,"Published 8 December 2020; DOI 10.1787/ca274cc5-en",false,false,true,true,verified,verified,verified,Digital transformation vision rather than binding law.
SRC-003,OECD International Compliance Assurance Programme,Organisation for Economic Co-operation and Development,https://www.oecd.org/en/about/programmes/icap.html,"ICAP Handbook 2021; programme page current at access",false,false,true,true,verified,verified,limited,Cooperative assurance profile only.
SRC-004,International VAT/GST Guidelines,Organisation for Economic Co-operation and Development,https://www.oecd.org/en/publications/international-vat-gst-guidelines_9789264271401-en.html,"12 April 2017; DOI 10.1787/9789264271401-en",false,false,true,true,verified,verified,verified,Domestic legal implementation remains jurisdiction-specific.
SRC-005,Modernized e-File schemas and business rules,United States Internal Revenue Service,https://www.irs.gov/e-file-providers/modernized-e-file-mef-schemas-and-business-rules,Current filing-season resources at access,false,false,true,true,verified,current-at-access,verified,United States e-file schema and rule profile.
SRC-006,Modernized e-File Guide for Software Developers and Transmitters,United States Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/p4164.pdf,"Publication 4164, Processing Year 2026, Rev. 12-2025",false,false,true,true,verified,verified,verified,United States MeF transmission profile.
SRC-007,Authorized IRS e-file Providers of Individual Income Tax Returns,United States Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/p1345.pdf,"Publication 1345, Rev. 12-2025",false,false,true,true,verified,verified,verified,United States individual-return provider profile.
SRC-008,VAT (MTD) API,HM Revenue and Customs,https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/vat-api/1.0,"Version 1.0 beta; last updated 5 August 2026",false,false,true,true,verified,verified,verified,United Kingdom VAT implementation profile.
SRC-009,VAT Notice 700/22: Making Tax Digital for VAT,HM Revenue and Customs,https://www.gov.uk/government/publications/vat-notice-70022-making-tax-digital-for-vat/vat-notice-70022-making-tax-digital-for-vat,Updated 1 April 2022,false,false,true,true,verified,verified,verified,United Kingdom digital-record and filing profile.
SRC-010,Council Directive 2006/112/EC on the common system of value added tax,European Union,https://eur-lex.europa.eu/eli/dir/2006/112/oj,"28 November 2006; current implementation must be checked",false,false,true,true,verified,profile-required,limited,Transposition amendments and national procedure must be resolved.
SRC-011,XBRL 2.1,XBRL International,https://specifications.xbrl.org/work-product-index-group-base-spec-base-spec.html,"Recommendation 20 February 2013; conformance suite 16 July 2025",false,false,true,true,verified,verified,verified,Reporting projection only.
SRC-012,Universal Business Language 2.4,OASIS Open,https://docs.oasis-open.org/ubl/os-UBL-2.4/UBL-2.4.html,"OASIS Standard, 20 June 2024",false,false,true,true,verified,verified,verified,Commercial-document and taxation projection only.
SRC-013,XML Signature Syntax and Processing Version 1.1,World Wide Web Consortium,https://www.w3.org/TR/xmldsig-core1/,W3C Recommendation 11 April 2013,false,false,true,true,verified,verified,verified,Applicable only where the filing profile adopts XML signatures.
SRC-014,PROV-O: The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,W3C Recommendation 30 April 2013,false,false,true,true,verified,verified,verified,
SRC-015,Regulation (EU) 2016/679 General Data Protection Regulation,European Union,https://eur-lex.europa.eu/eli/reg/2016/679/oj,"27 April 2016; applicable from 25 May 2018",false,false,true,true,verified,verified,verified,European Union privacy profile.
SRC-016,Date and Time on the Internet: Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/info/rfc3339/,RFC 3339 July 2002,false,false,true,true,verified,verified,verified,
SRC-017,Forms and publications about your appeal rights,United States Internal Revenue Service,https://www.irs.gov/appeals/forms-and-publications-about-your-appeal-rights,"Current at access; linked Publication 5 Rev. 4-2021",false,false,true,true,verified,current-at-access,limited,United States dispute and appeal profile only.

