source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,Verifiable Credentials Data Model v2.0,World Wide Web Consortium,https://www.w3.org/TR/vc-data-model-2.0/,"W3C Recommendation, 15 May 2025",false,false,true,true,unverified,unverified,unverified,
SRC-002,Verifiable Credential Data Integrity 1.0,World Wide Web Consortium,https://www.w3.org/TR/vc-data-integrity/,"W3C Recommendation, 15 May 2025",false,false,true,true,unverified,unverified,unverified,
SRC-003,Bitstring Status List v1.0,World Wide Web Consortium,https://www.w3.org/TR/vc-bitstring-status-list/,"W3C Recommendation, 15 May 2025",false,false,true,true,unverified,unverified,unverified,
SRC-004,Data Integrity BBS Cryptosuites v1.0,World Wide Web Consortium,https://www.w3.org/TR/vc-di-bbs/,"W3C Candidate Recommendation Draft, 7 April 2026",false,false,true,true,unverified,unverified,unverified,
SRC-005,Selective Disclosure for JSON Web Tokens,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc9901,"RFC 9901, November 2025",false,false,true,true,unverified,unverified,unverified,
SRC-006,OpenID for Verifiable Presentations 1.0,OpenID Foundation,https://openid.net/specs/openid-4-verifiable-presentations-1_0-final.html,"Final Specification, 9 July 2025",false,false,true,true,unverified,unverified,unverified,
SRC-007,Privacy-Enhancing Cryptography: Zero-Knowledge Proofs,National Institute of Standards and Technology,https://csrc.nist.gov/projects/pec/zkproof,Project reference accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-008,ZKProof Community Reference,ZKProof,https://docs.zkproof.org/reference,"Version 0.3, 17 July 2022",false,false,true,true,unverified,unverified,unverified,
SRC-009,PROV-O: The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,"W3C Recommendation, 30 April 2013",false,false,true,true,unverified,unverified,unverified,
SRC-010,Date and Time on the Internet: Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339,"RFC 3339, July 2002",false,false,true,true,unverified,unverified,unverified,
