source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,CVE Record Format,CVE Program,https://cveproject.github.io/cve-schema/,Current production format accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-002,CVE JSON record format documentation,CVE Program,https://cveproject.github.io/cve-schema/schema/docs/,Production schema documentation accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-003,NVD Data Feeds and JSON 2.0 schemas,National Institute of Standards and Technology,https://nvd.nist.gov/vuln/data-feeds,NVD API and feeds accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-004,CWE Downloads and published schemas,MITRE,https://cwe.mitre.org/data/downloads.html,Current published CWE content accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-005,Common Vulnerability Scoring System version 4.0 Specification,Forum of Incident Response and Security Teams,https://www.first.org/cvss/v4.0/specification-document,CVSS 4.0 document version 1.2,false,false,true,true,unverified,unverified,unverified,
SRC-006,Exploit Prediction Scoring System,Forum of Incident Response and Security Teams,https://www.first.org/epss/,Current model resources accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-007,Known Exploited Vulnerabilities Catalog,Cybersecurity and Infrastructure Security Agency,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,Living catalog accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-008,Common Security Advisory Framework Version 2.0 Errata 01,OASIS,https://docs.oasis-open.org/csaf/csaf/v2.0/errata01/os/csaf-v2.0-errata01-os.html,"OASIS Standard with Approved Errata, 26 January 2024",false,false,true,true,unverified,unverified,unverified,
SRC-009,Open Source Vulnerability format,Open Source Security Foundation,https://ossf.github.io/osv-schema/,Current schema documentation accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-010,STIX Version 2.1,OASIS,https://docs.oasis-open.org/cti/stix/v2.1/os/stix-v2.1-os.html,"OASIS Standard, 10 June 2021",false,false,true,true,unverified,unverified,unverified,
SRC-011,PROV-O: The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,"W3C Recommendation, 30 April 2013",false,false,true,true,unverified,unverified,unverified,
SRC-012,Date and Time on the Internet: Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339,"RFC 3339, July 2002",false,false,true,true,unverified,unverified,unverified,
