source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,DDI Lifecycle v3.3,DDI Alliance,https://ddialliance.org/Specification/DDI-Lifecycle/3.3/,Published 15 April 2020,false,false,true,true,verified,verified,verified,Questionnaire design sampling weighting classification and lifecycle metadata.
SRC-002,DDI Lifecycle Data Capture Technical Guide,DDI Alliance,https://docs.ddialliance.org/DDI-Lifecycle/guide/Specific%20Structures/Data%20Capture/,DDI Lifecycle 3.3 documentation 2020,false,false,true,true,verified,verified,verified,Question items grids blocks stimuli response domains and instrument control constructs.
SRC-003,DDI Common Core,DDI Alliance,https://ddialliance.org/ddi-common-core,Version 1 2025 and ISO/PAS 25955:2026 alignment,false,false,true,true,verified,verified,verified,Variable unit and value-domain cascades shared by DDI products.
SRC-004,Generic Statistical Information Model version 2.0 User Guide,United Nations Economic Commission for Europe,https://unece.org/info/publications/pub/400014,GSIM 2.0 released December 2023 User Guide November 2024,false,false,true,true,verified,verified,verified,Questionnaire specification components questions statements logic and statistical information classes.
SRC-005,Generic Statistical Business Process Model version 5.2,United Nations Economic Commission for Europe,https://unece.org/statistics/gsbpm-v5.2,CES endorsed June 2025,false,false,true,true,verified,verified,verified,Statistical design build collect process analyse disseminate evaluate lifecycle profile.
SRC-006,Market opinion and social research including insights and data analytics vocabulary and service requirements,International Organization for Standardization,https://www.iso.org/standard/88881.html,ISO 20252:2026 edition 4 published 1 September 2026,false,false,true,true,verified,verified,public-metadata-only,Only public scope edition status and lifecycle metadata used.
SRC-007,Questionnaire FHIR R5,Health Level Seven International,https://hl7.org/fhir/R5/questionnaire.html,FHIR R5 5.0.0 generated 26 March 2023 Trial Use,false,false,true,true,verified,verified,verified,Healthcare profile separating questionnaire definition from questionnaire response and clinical observations.
SRC-008,Questionnaire Design Guidelines,United States Census Bureau,https://www.census.gov/about/what/transformation/maximizing-operational-efficiency/data-centric-business-ecosystem/dice-overview/dice.html,Web and interviewer guidelines version 1 April 2026,false,false,true,true,verified,verified,verified,Question types modes navigation evidence examples and design specifications.
SRC-009,Statistics Canada Quality Guidelines,Statistics Canada,https://www150.statcan.gc.ca/n1/pub/12-539-x/2019001/process-concernant-eng.htm,2019 edition,false,false,true,true,verified,verified,verified,Concepts populations stakeholder use questionnaire testing and respondent information guidance.
SRC-010,Designing good questions,GOV.UK Service Manual,https://www.gov.uk/service-manual/design/designing-good-questions,Updated 24 June 2026,false,false,true,true,verified,current-at-access,verified,Purpose plain language uncertainty answers help validation and iterative testing guidance.
SRC-011,Web Content Accessibility Guidelines WCAG 2.2,World Wide Web Consortium,https://www.w3.org/TR/WCAG22/,W3C Recommendation update 12 December 2024,false,false,true,true,verified,verified,verified,Perceivable operable understandable and robust interface requirements.
SRC-012,Data Privacy Vocabulary,World Wide Web Consortium Data Privacy Vocabularies and Controls Community Group,https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/,Version 2.0 Final Community Group Report 1 August 2024,false,false,true,true,verified,verified,verified,Privacy purpose processing data role risk and control vocabulary profile.
SRC-013,PROV-O The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,W3C Recommendation 30 April 2013,false,false,true,true,verified,verified,verified,Entity activity agent attribution derivation revision and time.
SRC-014,SKOS Simple Knowledge Organization System Reference,World Wide Web Consortium,https://www.w3.org/TR/skos-reference/,W3C Recommendation 18 August 2009,false,false,true,true,verified,verified,verified,Controlled concepts schemes labels mappings and collections.
SRC-015,Date and Time on the Internet Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/info/rfc3339,RFC 3339 July 2002,false,false,true,true,verified,verified,verified,Interoperable timestamps with seconds and explicit UTC relationship.
SRC-016,Tags for Identifying Languages,Internet Engineering Task Force,https://www.rfc-editor.org/info/rfc5646/,RFC 5646 September 2009 and BCP 47,false,false,true,true,verified,verified,verified,Language script region variant and private-use tags.
SRC-017,Standard Definitions Final Dispositions of Case Codes and Outcome Rates for Surveys,American Association for Public Opinion Research,https://aapor.org/standards-and-ethics/standard-definitions/,10th edition 2023,false,false,true,true,verified,verified,verified,Survey disposition nonresponse and outcome-rate definitions.
