source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,ITU-T Recommendation E.164: The international public telecommunication numbering plan,International Telecommunication Union (ITU-T),https://www.itu.int/rec/T-REC-E.164/en,"E.164 (02/26), in force",true,false,true,unverified,unverified,unverified,
SRC-002,ITU-T Recommendation E.164 (05/97): The international public telecommunication numbering plan (ITU-hosted text),International Telecommunication Union (ITU-T),https://www.itu.int/ITU-T/worksem/ip-telecoms/e164/e164.pdf,Edition 05/1997,true,false,true,unverified,unverified,unverified,
SRC-003,"ITU-T Recommendation E.123: Notation for national and international telephone numbers, e-mail addresses and web addresses",International Telecommunication Union (ITU-T),https://www.itu.int/rec/T-REC-E.123/en,"E.123 (02/2001), Amendment 1 (05/08), Erratum 2 (06/2022)",true,false,true,unverified,unverified,unverified,
SRC-004,RFC 3966: The tel URI for Telephone Numbers,Internet Engineering Task Force (IETF),https://datatracker.ietf.org/doc/html/rfc3966,December 2004,true,false,true,unverified,unverified,unverified,
SRC-005,RFC 5321: Simple Mail Transfer Protocol,Internet Engineering Task Force (IETF),https://datatracker.ietf.org/doc/html/rfc5321,October 2008,true,false,true,unverified,unverified,unverified,
SRC-006,RFC 6068: The 'mailto' URI Scheme,Internet Engineering Task Force (IETF),https://datatracker.ietf.org/doc/html/rfc6068,October 2010,true,false,true,unverified,unverified,unverified,
SRC-007,RFC 6530: Overview and Framework for Internationalized Email,Internet Engineering Task Force (IETF),https://datatracker.ietf.org/doc/html/rfc6530,February 2012,true,false,true,unverified,unverified,unverified,
SRC-008,RFC 5890: Internationalized Domain Names for Applications (IDNA): Definitions and Document Framework,Internet Engineering Task Force (IETF),https://datatracker.ietf.org/doc/html/rfc5890,August 2010,true,false,true,unverified,unverified,unverified,
SRC-009,RFC 3986: Uniform Resource Identifier (URI): Generic Syntax,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc3986.html,January 2005,true,false,true,unverified,unverified,unverified,
SRC-010,RFC 6350: vCard Format Specification,Internet Engineering Task Force (IETF),https://datatracker.ietf.org/doc/html/rfc6350,August 2011,true,false,true,unverified,unverified,unverified,
SRC-011,RFC 9553: JSContact: A JSON Representation of Contact Data,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc9553.html,May 2024,true,false,true,unverified,unverified,unverified,
SRC-012,Addressing Solutions: Standard S42 International postal address components and templates,Universal Postal Union (UPU),https://www.upu.int/en/Postal-Solutions/Programmes-Services/Addressing-Solutions,S42 standard document published 2020-02-26; page content current as accessed,true,false,true,unverified,unverified,unverified,
SRC-013,schema.org ContactPoint,Schema.org Community Group,https://schema.org/ContactPoint,"v30.0, 2026-03-19 (development version)",true,false,true,unverified,unverified,unverified,
SRC-014,vCard Ontology - for describing People and Organizations,World Wide Web Consortium (W3C),https://www.w3.org/TR/vcard-rdf/,"W3C Interest Group Note, 22 May 2014; namespace http://www.w3.org/2006/vcard/ns#",true,false,true,unverified,unverified,unverified,
SRC-015,OpenID Connect Core 1.0 incorporating errata set 2,OpenID Foundation,https://openid.net/specs/openid-connect-core-1_0.html,"Errata set 2, 15 December 2023",true,false,true,unverified,unverified,unverified,
SRC-016,Core Public Organisation Vocabulary (CPOV) 2.1.1,European Commission / SEMIC (Interoperable Europe),https://semiceu.github.io/CPOV/releases/2.1.1/,"Version 2.1.1, SEMIC Recommendation, 6 May 2024",true,false,true,unverified,unverified,unverified,
SRC-017,NIST Special Publication 800-63A-4: Digital Identity Guidelines - Identity Proofing and Enrollment,National Institute of Standards and Technology (NIST),https://csrc.nist.gov/pubs/sp/800/63/a/4/final,"SP 800-63A-4, final, 31 July 2025",true,false,true,unverified,unverified,unverified,
SRC-018,RFC 6350: vCard Format Specification,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc6350.html,"RFC 6350, August 2011, Standards Track",true,false,true,unverified,unverified,unverified,
SRC-019,RFC 7953: Calendar Availability: A Standard Approach,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc7953.html,"RFC 7953, August 2016, Proposed Standard",true,false,true,unverified,unverified,unverified,
SRC-020,RFC 5646 (BCP 47): Tags for Identifying Languages,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc5646.html,"RFC 5646 / BCP 47, September 2009, Best Current Practice",true,false,true,unverified,unverified,unverified,
SRC-021,RFC 8984: JSCalendar: A JSON Representation of Calendar Data,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc8984.html,"RFC 8984, July 2021, Standards Track",true,false,true,unverified,unverified,unverified,
SRC-022,ContactPointOption - Schema.org Enumeration,Schema.org Community Group,https://schema.org/ContactPointOption,"Schema.org V30.0, released 2026-03-19",true,false,true,unverified,unverified,unverified,
SRC-023,FHIR Release 5: Data Types (ContactPoint),HL7 International,https://hl7.org/fhir/R5/datatypes.html,"FHIR R5, v5.0.0, published 2023-03-26",true,false,true,unverified,unverified,unverified,
SRC-024,Time Zone Database,Internet Assigned Numbers Authority (IANA),https://www.iana.org/time-zones,"Release 2026c, 2026-07-08",true,false,true,unverified,unverified,unverified,
SRC-025,vCard Elements Registries,Internet Assigned Numbers Authority (IANA),https://www.iana.org/assignments/vcard-elements/vcard-elements.xhtml,Last updated 2026-01-13,true,false,true,unverified,unverified,unverified,
SRC-026,1EdTech AccessForAll Personal Needs and Preferences Description for Digital Delivery Information Model,1EdTech Consortium (formerly IMS Global Learning Consortium),https://www.imsglobal.org/accessibility/accpnpv2p0/spec/ISO_ACCPNPinfoModelv2p0.html,"Version 2.0 Final Release, 2010; aligned with ISO/IEC 24751",true,false,true,unverified,unverified,unverified,
SRC-027,Common Alerting Protocol Version 1.2,OASIS,https://docs.oasis-open.org/emergency/cap/v1.2/CAP-v1.2-os.html,"Version 1.2, OASIS Standard, 2010-07-01",true,false,true,unverified,unverified,unverified,
SRC-028,Regulation (EU) 2016/679 (General Data Protection Regulation),European Union / Publications Office of the European Union,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679,"27 April 2016, OJ L 119, 4.5.2016",true,false,true,unverified,unverified,unverified,
SRC-029,PROV-O: The PROV Ontology,World Wide Web Consortium (W3C),https://www.w3.org/TR/prov-o/,"W3C Recommendation, 30 April 2013",true,false,true,unverified,unverified,unverified,
SRC-030,Universal Electronic Records Management (ERM) Requirements,U.S. National Archives and Records Administration (NARA),https://www.archives.gov/records-mgmt/policy/universalermrequirements,"Version 3, June 2023",true,false,true,unverified,unverified,unverified,
SRC-031,RFC 9110: HTTP Semantics,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc9110.html,"RFC 9110 / STD 97, June 2022, Internet Standard",true,false,true,unverified,unverified,unverified,
SRC-032,RFC 9457: Problem Details for HTTP APIs,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc9457.html,"RFC 9457, July 2023, Standards Track (obsoletes RFC 7807)",true,false,true,unverified,unverified,unverified,
SRC-033,RFC 6902: JavaScript Object Notation (JSON) Patch,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc6902.html,"RFC 6902, April 2013, Standards Track",true,false,true,unverified,unverified,unverified,
SRC-034,RFC 9562: Universally Unique IDentifiers (UUIDs),Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc9562.html,"RFC 9562, May 2024, Standards Track (obsoletes RFC 4122)",true,false,true,unverified,unverified,unverified,
SRC-035,RFC 3339: Date and Time on the Internet: Timestamps,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc3339.html,"RFC 3339, July 2002, Standards Track",true,false,true,unverified,unverified,unverified,
SRC-036,The Government Data Quality Framework,UK Government Data Quality Hub (Office for National Statistics / Cabinet Office),https://www.gov.uk/government/publications/the-government-data-quality-framework/the-government-data-quality-framework,Published 3 December 2020,true,false,true,unverified,unverified,unverified,
