source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,AI Risk Management Framework (AI RMF 1.0) — AI RMF Core,National Institute of Standards and Technology (NIST),https://airc.nist.gov/airmf-resources/airmf/5-sec-core/,"AI RMF 1.0, published 26 January 2023",true,false,true,unverified,unverified,unverified,
SRC-002,AI Risk Management Framework — AI Risks and Trustworthiness,National Institute of Standards and Technology (NIST),https://airc.nist.gov/airmf-resources/airmf/3-sec-characteristics/,"AI RMF 1.0, published 26 January 2023",true,false,true,unverified,unverified,unverified,
SRC-003,Regulation (EU) 2024/1689 laying down harmonised rules on artificial intelligence (Artificial Intelligence Act),"European Union (Official Journal, EUR-Lex)",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=OJ:L_202401689,"Adopted 13 June 2024; OJ L, 2024/1689, 12 July 2024",true,false,true,unverified,unverified,unverified,
SRC-004,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile (NIST AI 600-1),National Institute of Standards and Technology (NIST),https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,"NIST AI 600-1, 26 July 2024",true,false,true,unverified,unverified,unverified,
SRC-005,Adversarial Machine Learning: A Taxonomy and Terminology of Attacks and Mitigations (NIST AI 100-2 E2025),National Institute of Standards and Technology (NIST),https://csrc.nist.gov/pubs/ai/100/2/e2025/final,"NIST AI 100-2 E2025, March 2025",true,false,true,unverified,unverified,unverified,
SRC-006,ISO/IEC 42001:2023 Information technology — Artificial intelligence — Management system,International Organization for Standardization / International Electrotechnical Commission,https://www.iso.org/standard/42001,"First edition, December 2023",true,false,true,unverified,unverified,unverified,
SRC-007,ISO/IEC 23894:2023 Information technology — Artificial intelligence — Guidance on risk management,International Organization for Standardization / International Electrotechnical Commission,https://www.iso.org/standard/77304,"First edition, February 2023",true,false,true,unverified,unverified,unverified,
SRC-008,ISO/IEC 42005:2025 Information technology — Artificial intelligence — AI system impact assessment,International Organization for Standardization / International Electrotechnical Commission,https://www.iso.org/standard/42005,"First edition, May 2025",true,false,true,unverified,unverified,unverified,
SRC-009,General-Purpose AI Code of Practice,"European Commission, Directorate-General for Communications Networks, Content and Technology",https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai,Published 10 July 2025,true,false,true,unverified,unverified,unverified,
SRC-010,Defining AI incidents and related terms (OECD Artificial Intelligence Papers No. 16),Organisation for Economic Co-operation and Development (OECD),https://www.oecd.org/en/publications/2024/05/defining-ai-incidents-and-related-terms_88d089ec.html,"OECD AI Papers No. 16, May 2024",true,false,true,unverified,unverified,unverified,
SRC-011,Anthropic Responsible Scaling Policy,Anthropic,https://www.anthropic.com/rsp,"Version 3.4, effective 8 July 2026",true,false,true,unverified,unverified,unverified,
SRC-012,Inspect: an open-source framework for large language model evaluations,UK AI Security Institute,https://inspect.aisi.org.uk/,"Current documentation, accessed 29 August 2026",true,false,true,unverified,unverified,unverified,
SRC-013,OECD Framework for the Classification of AI Systems (OECD Digital Economy Papers No. 323),Organisation for Economic Co-operation and Development (OECD),https://www.oecd.org/content/dam/oecd/en/publications/reports/2022/02/oecd-framework-for-the-classification-of-ai-systems_336a8b57/cb6d9eca-en.pdf,"No. 323, February 2022, DOI 10.1787/cb6d9eca-en",true,false,true,unverified,unverified,unverified,
