source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,Agent Skills Specification,Agent Skills,https://agentskills.io/specification,Current specification accessed 2026-09-06,false,false,true,true,unverified,unverified,unverified,
SRC-002,Prompts,Model Context Protocol,https://modelcontextprotocol.io/specification/2025-11-25/server/prompts,MCP 2025-11-25,false,false,true,true,unverified,unverified,unverified,
SRC-003,Tools,Model Context Protocol,https://modelcontextprotocol.io/specification/2025-11-25/server/tools,MCP 2025-11-25,false,false,true,true,unverified,unverified,unverified,
SRC-004,JSON Schema Draft 2020-12,JSON Schema,https://json-schema.org/draft/2020-12,"Draft 2020-12, published 16 June 2022",false,false,true,true,unverified,unverified,unverified,
SRC-005,Semantic Versioning 2.0.0,Semantic Versioning,https://semver.org/spec/v2.0.0.html,Version 2.0.0,false,false,true,true,unverified,unverified,unverified,
SRC-006,SPDX Specification,SPDX Project,https://spdx.github.io/spdx-spec/,SPDX 3.0.1,false,false,true,true,unverified,unverified,unverified,
SRC-007,SLSA Specification,Supply-chain Levels for Software Artifacts,https://slsa.dev/spec/v1.2/,"SLSA 1.2, approved",false,false,true,true,unverified,unverified,unverified,
SRC-008,AI Risk Management Framework,National Institute of Standards and Technology,https://www.nist.gov/itl/ai-risk-management-framework,"AI RMF 1.0 with GenAI Profile NIST AI 600-1, accessed 2026-09-06",false,false,true,true,unverified,unverified,unverified,
SRC-009,PROV-O: The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,"W3C Recommendation, 30 April 2013",false,false,true,true,unverified,unverified,unverified,
SRC-010,RFC 3339: Date and Time on the Internet: Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339,"RFC 3339, July 2002",false,false,true,true,unverified,unverified,unverified,
