source_id,url,verification,status,checked_at,notes
SRC-001,https://www.grants.gov/learn-grants/grants-101/the-grant-lifecycle,verified-web-index-direct-network-block,primary-official,2026-09-06T17:00:00Z,"Official indexed Grants.gov guidance separates opportunity, application, award, implementation, reporting and closeout; direct automated access failed."
SRC-002,https://www.grants.gov/learn-grants/grants-101/award-phase,verified-web-index-direct-network-block,primary-official,2026-09-06T17:00:00Z,"Official indexed award-phase guidance separates decision, notice, acceptance, legal obligation and disbursement; direct automated access failed."
SRC-003,https://www.grants.gov/learn-grants/grant-reporting,verified-web-index-direct-network-block,primary-official,2026-09-06T17:00:00Z,"Official indexed reporting guidance supports financial, compliance, project, subaward and transparency reporting; direct automated access failed."
SRC-004,https://www.ecfr.gov/current/title-2/subtitle-A/chapter-II/part-200,verified-web-index-direct-challenge,primary-official,2026-09-06T17:00:00Z,"Official eCFR Part 200 content was verified through official indexed material; automated retrieval redirected to an access challenge."
SRC-005,https://eur-lex.europa.eu/eli/reg/2024/2509/oj,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"Official EU Financial Regulation defines grant agreement subject, beneficiary, duration, expected results, maximum funding, reporting and payment terms."
SRC-006,https://reference.iatistandard.org/en/iati-standard/,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"Official IATI reference defines organization and activity standards, codelists and schemas."
SRC-007,https://reference.iatistandard.org/en/about/what-is-iati/,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"Official IATI overview separates activities, budgets, commitments, disbursements, expenditures, locations, sectors and results."
SRC-008,https://reference.iatistandard.org/en/guidance/standard-guidance/results/,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"Official IATI guidance separates outputs, outcomes and impacts and binds indicators and periods."
SRC-009,https://docs.publisher.iatistandard.org/en/latest/financials/,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"Official IATI Publisher documentation distinguishes forward budgets from dated incoming and outgoing transactions."
SRC-010,https://standard.threesixtygiving.org/en/latest/technical/reference/,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"Official 360Giving technical reference defines grant, funder, recipient, location, classification, programme and transaction structures."
SRC-011,https://www.360giving.org/publish/guidance/prepare/decide-what-to-publish/,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"Official guidance defines ten core grant fields and privacy-aware location publication."
SRC-012,https://www.360giving.org/about/model/our-data-standard/,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"Official 360Giving description separates required, optional and enhanced funder-owned grant data."
SRC-013,https://www.gov.uk/guidance/accepting-refusing-and-returning-donations-to-your-charity,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"Official Charity Commission guidance separates donation, grant-as-donation and contract and covers acceptance, refusal and return."
SRC-014,https://www.gov.uk/government/publications/charities-due-diligence-monitoring-and-verifying-the-end-use-of-charitable-funds/chapter-2-due-diligence-monitoring-and-end-use-of-funds,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"Official guidance supports due diligence, conditional donations, end-use monitoring and recorded risk decisions."
SRC-015,https://www.irs.gov/charities-non-profits/charitable-organizations/charitable-organizations-substantiation-and-disclosure-requirements,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"Official IRS guidance supports acknowledgements, noncash substantiation and quid-pro-quo disclosures in a United States tax profile."
SRC-016,https://www.irs.gov/pub/irs-pdf/p1771.pdf,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"Official IRS Publication 1771 supports donor record, donee acknowledgement and disclosure evidence."
SRC-017,https://www.ifrs.org/issued-standards/list-of-standards/ias-20-accounting-for-government-grants-and-disclosure-of-government-assistance/,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"Official IAS 20 page separates conditions, reasonable assurance, receipt, recognition, presentation and repayment accounting."
SRC-018,https://www.oecd.org/en/topics/sub-issues/oda-standards/glossary-of-statistical-terms-and-concepts-of-development-finance.html,verified-web-index-direct-403,primary-official,2026-09-06T17:00:00Z,"Official indexed OECD glossary defines grant and grant element; direct automated access was publisher-blocked."
SRC-019,https://www.iso.org/iso-4217-currency-codes.html,verified-web-index-direct-403,primary-official,2026-09-06T17:00:00Z,"Official indexed ISO 4217 page supports versioned currency codes; direct automated access was publisher-blocked."
SRC-020,https://www.rfc-editor.org/rfc/rfc3339.html,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"RFC 3339 defines interoperable timestamps with seconds and explicit UTC relation."
SRC-021,https://www.w3.org/TR/prov-o/,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"W3C PROV-O defines entities, activities, agents, attribution, derivation and revision provenance."
SRC-022,https://www.w3.org/TR/vocab-dqv/,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"W3C DQV defines quality dimensions, metrics, measurements, annotations and policies."
SRC-023,https://www.w3.org/TR/odrl-model/,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"W3C ODRL defines permissions, prohibitions, duties, constraints, assets and parties."
SRC-024,https://spec.openapis.org/oas/v3.1.1.html,verified-direct-official,primary-official,2026-09-06T17:00:00Z,"Official OpenAPI 3.1.1 specification supports loss-aware HTTP API projections and security declarations."
