ID,Cluster,MetaModel,Purpose,KeyObjects,Reuse,Formalize,Priority
V1,Value Substrate,Value Transformer,Universal node: any entity consumes/transforms/creates value or anti-value,"transformer; consume; transform; create",AISMM value-stream actor; orkestron Aeilus,now,critical
V2,Value Substrate,Multidimensional Value (Ae-vector),10-axis value vector (adds epistemic); shared vocabulary (partial commensurability A13); per-cohort/region corridors floor/band/ceiling,"value_vector; axis(10); corridor(floor/target_band/ceiling); weight_vector; cohort; region",aeilus.tech VMT; orkestron Ae/$,now,critical
V3,Value Substrate,Value Flow,Edges: value transfer with Ae-delta cost time provenance; lifecycle Potential/Planned/Realized/Retrospective; flow resistance and leakage,"flow; source; sink; ae_delta; cost; valuation_state; flow_resistance; leakage",orkestron value streams; settlement,now,critical
V4,Value Substrate,Anti-Value,Independent first-class category; classified by scope(edge/systemic) lag(immediate/short/long/generational) intent(rights-violation/malicious/distress/negligent),"anti_value; scope; lag; kind; responsibility_share; concealment; baseline",new (VMT A5 seed),now,critical
V5,Value Substrate,Value System / Frame,VMT value system {A F G R T}: the frame that interprets value; citizen/family/business/state each a frame; participation condition theta,"value_system; actors; flows; criteria_G; rules_R; horizon; participation_condition_theta; frame_weights",aeilus.tech VMT (value system),now,critical
A0,Polity,Charter / Meta-Constitution,Supreme norm (jus cogens) above any polity constitution; value-balancing mandate; unamendable eternity-clause core; conform-or-void,"charter; article; eternity_core; supremacy; constitutional_review",Meta-Universe MUC; Kelsen norm hierarchy; jus cogens,now,critical
A1,Polity,State / Constitution,Local supreme rule-set instantiating the Charter (A0): rights value-balancing mandate sovereignty corridors,"state; constitution; right; mandate; corridor",Meta-Universe MUC,now,high
A2,Polity,Branch of Power,Legislative/executive/judicial; separation and checks-and-balances,"branch; mandate; check",new; W3C ORG,P1,high
A3,Polity,Ministry / State Sub-Agent,Civilizational agents owning a value dimension,"ministry; sub_agent; mandate; kpi",orkestro.net Position+PositionMemory; CPSV-AP,now,high
A4,Polity,Territorial Division,Nation>region>city>district; regional value accounts,"region; city; jurisdiction",ISO 3166-2; schema:AdministrativeArea; GeoSPARQL,now,high
A5,Polity,Law / Legislation,Laws regulations mandatory-contribution rules incentives,"law; regulation; policy; incentive",Akoma Ntoso; LegalRuleML; ODRL,P1,medium
A6,Polity,Judiciary / Dispute,Courts cases rulings appeals dispute-resolution; revaluation petitions; judged by contemporaneous norms,"court; case; ruling; appeal; revaluation_petition",orkestro.net Review/escalation; ECLI,P1,medium
A7,Polity,Public Program / Incentive,Programs subsidies mandates strategic-demand instruments,"program; subsidy; mandate",orkestron ControlPolicy + take-rate,P1,medium
A8,Polity,Public Treasury / Budget,Budget allocation public accounts; $ ledger,"budget_line; allocation; account",ISO 20022; orkestron settlement,P2,low
